"","Br10_3_1","Br10_3_2","Br10_3_3","Br15_3_1","Br15_3_2","Br15_3_3","Br3_3_1","Br3_3_2","Br3_3_3","Br7_3_1","Br7_3_2","Br7_3_3","MG_3_1","MG_3_2","MG_3_3","QC1","QC2","QC3"
"Senkyunolide S","163005","157793","469058","521567","386555","682083","195036"," 86518","339292"," 34848"," 59358","188354","233964"," 24682","243224","252407","205937","264570"
"Tatarinoid A","163005","157793","469058","521567","386555","682083","195036"," 86518","339292"," 34848"," 59358","188354","233964"," 24682","243224","252407","205937","264570"
"Ethyl 3,4,5-trimethoxybenzoate","2163204","2189891","2288367","2182649","1656279","1344963","1431360","1271801","1001287","1966859","1753327","1924259"," 984018","1516283","2160192","1839736","1585798","1677972"
"Unedone","2975012.9","3212720.6","3066935.4"," 298012.6"," 420958.6"," 412741.7"," 346361.4"," 305838.7"," 453416.4"," 458559.6"," 371325.5"," 385681.0"," 333600.9"," 281665.8"," 380739.7"," 406639.4"," 373825.7"," 288320.1"
"Cucumegastigmane I","2434358","3160939","2379776","496958","178318","38029","267065","N/F","N/F","1171383","520042","864525","141610","N/F","53557","N/F","24544","N/F"
"2,3,4'-Trihydroxy-3',5'-dimethoxypropiophenone"," 294582"," 360529"," 218748","1591760","4047934","4981060"," 972913","1465022"," 753157"," 988087"," 379685","1525310"," 520596"," 176292"," 737814","1993461"," 396888"," 169337"
"Cantharidin _HCOO","1743034.1","1954954.3"," 502250.1","2916918.6","2501523.7","3648829.4","4071776.1","1654661.8"," 319860.8"," 427588.5","2015905.2","1474464.6"," 523980.7"," 417949.3"," 867472.5"," 626193.5"," 517881.0","1951041.0"
"6,9,10-Trihydroxy-7-megastigmen-3-one","451501","30692","1719910","33306","33484","86355","73124","120723","62879","36913","39553","59277","62436","N/F","N/F","36175","28314","35519"
"Cytidine"," 962080"," 288950","2208191"," 274571"," 439497"," 784499","4470164","3936795","4004115","2249684"," 937371","2205767","5790837","5872575","4555129","2581622","2659073","2511375"
"Cytarabine"," 962080"," 288950","2208191"," 274571"," 439497"," 784499","4470164","3936795","4004115","2249684"," 937371","2205767","5790837","5872575","4555129","2581622","2659073","2511375"
"Fucose 1-phosphate/L-Fuculose 1-phosphate","7258933","7212374","7584736","6117984","6671306","7348646","5875848","3209216","3131767","6064653","4569984","5782686","3177499","3639536","2342423","4939158","2663433","3535443"
"4-Oxododecanedioic acid","4812768","4689837","6384856","1023427","1418791","1188440"," 900712"," 910753"," 968314","1754333","1372020","1265067","1001198"," 930280","1095118","1492040"," 782371"," 882365"
"Glu-Val"," 738064","1180821"," 600765","3044022"," 931532","2781664"," 791742","  84580"," 132788"," 420182","  88338"," 350910"," 161247"," 277798"," 618031"," 308315"," 481395"," 369688"
"Asp-Leu","1737434.76","1271228.68","1074467.90","3097945.79"," 931052.30","2781206.33"," 791108.16","  86389.90"," 187293.59"," 941117.81"," 404722.54"," 432382.15"," 337074.33"," 309211.18"," 618007.94"," 412508.55"," 557043.92","  80138.79"
"Ile-Asp","1737434.76","1271228.68","1074467.90","3097945.79"," 931052.30","2781206.33"," 791108.16","  86389.90"," 187293.59"," 941117.81"," 404722.54"," 432382.15"," 337074.33"," 309211.18"," 618007.94"," 412508.55"," 557043.92","  80138.79"
"Leu-Asp","1737434.76","1271228.68","1074467.90","3097945.79"," 931052.30","2781206.33"," 791108.16","  86389.90"," 187293.59"," 941117.81"," 404722.54"," 432382.15"," 337074.33"," 309211.18"," 618007.94"," 412508.55"," 557043.92","  80138.79"
"Asp-Ile"," 745171","1180821"," 646522","3044022"," 931532","2781664"," 791742","  84580"," 132788"," 522363","  88338"," 350910"," 161247"," 309111"," 618031"," 308315"," 481395"," 369688"
"Val-Glu"," 745171","1180821"," 646522","3044022"," 931532","2781664"," 791742","  84580"," 132788"," 522363","  88338"," 350910"," 161247"," 309111"," 618031"," 308315"," 481395"," 369688"
"N-Caffeoylputrescine, (E)-","26722556","21338912","27869458","25723509","13258997","52268586"," 8448217","10130141","19878387","10105476","17699959","19466580","43612883","38322666","83265202","22025976","20654083","21519373"
"5-Hydroxy-6,7,8-trimethoxycoumarin"," 7147032","11715602"," 5711471","17750221","16349363","16194005"," 1414853","  999115"," 1259124"," 4325107"," 4869679"," 2949267","  312886","  379813","  461993"," 2954419"," 2123024"," 2555004"
"Deoxyinosine","1847764"," 484719"," 765970","1360947"," 769578","1315656"," 176719","  72455"," 156409"," 155360"," 315004"," 195092"," 215929","  77803","  95026"," 188822"," 304937"," 146749"
"2,3-Dihydro-12,13-dihydroxyeuparin","4278379","3948146","3912865","3928206","3724334","4233857","4499130","4940086","4822633","4252699","4336910","4502030","5432493","5309193","5114534","3729904","5251129","5354558"
"Ethyl 4-methoxycinnamate_HCOO","4278379","3948146","3912865","3928206","3724334","4233857","4499130","4940086","4822633","4252699","4336910","4502030","5432493","5309193","5114534","3729904","5251129","5354558"
"Methyl 3,4,5-trimethoxycinnamate","4278379","3948146","3912865","3928206","3724334","4233857","4499130","4940086","4822633","4252699","4336910","4502030","5432493","5309193","5114534","3729904","5251129","5354558"
"Shikimate 3-phosphate","3728747","1859316","1511761","2052351","2112687","2140296","2301696"," 579362"," 938331","1558101","2186992","1997613","1618826","2790358","1283814","1688784","2836902","2556962"
"1,2:4,5-Di-O-isopropylidene-?-D-fructopyranose","1271089","1019073"," 802620","1617953"," 796771","1471510","1086300"," 532607"," 485022","1077368"," 728400"," 517464"," 714742"," 570358"," 603302"," 658051"," 646841"," 638086"
"3,4-Diacetoxycinnamamide","2672644","2059077","2606378","2802135","2077921","3050631","2894300","1660794","1815232","2586210","1947077","2415180","1744145","1315659","1393609","1513229","1198954","1298572"
"Acetyl-N-formyl-5-methoxykynurenamine","N/F","N/F","23007","N/F","49594","71572","98007","26505","25281","N/F","N/F","20305","934775","N/F","232807","17950","1562555","2236628"
"Val-Phe","217001","261087","358401","467052","324311","353284","N/F","529547","N/F","118518","291853","119286","233599","52441","577038","489561","510084","604015"
"Phe-Val","217001","261087","358401","467052","324311","353284","N/F","529547","N/F","118518","291853","119286","233599","52441","577038","489561","510084","604015"
"Asp-His","2191562","2494036","2087141","4157394","3010735","2687795","4113382","1394344","2342170","1334213","1308560"," 674207"," 134902"," 520977"," 505334"," 936963","1193575","1238021"
"His-Asp","2191562","2494036","2087141","4157394","3010735","2687795","4113382","1394344","2342170","1334213","1308560"," 674207"," 134902"," 520977"," 505334"," 936963","1193575","1238021"
"alpha-Naphthoflavone","N/F","21242","N/F","N/F","28231","68156","27549","17420","35473","35056","23138","24117","N/F","N/F","17292","27133","15440","N/F"
"Anigorufone","N/F","21242","N/F","N/F","28231","68156","27549","17420","35473","35056","23138","24117","N/F","N/F","17292","27133","15440","N/F"
"Erigeroside","189284","627994","125013","1051673","902954","1463582","N/F","N/F","14774","16996","17592","N/F","11401","24658","N/F","90332","63902","69876"
"Glu-Glu","7516457","12233005","3800422","15909746","12530535","20940249","458767","326758","244912","3246411","3872114","1325780","N/F","467973","364406","3620206","4019293","3543151"
"Gamma Glutamylglutamic acid","7516457","12233005","3800422","16281039","12530535","20940249","458767","326758","244912","3246411","3872114","1325780","N/F","467973","364406","3620206","4019293","3543151"
"Cnidimol A","2252862.74","6565387.91","3304518.01","2206875.69","1353240.97","4945085.06"," 460660.60"," 329333.84"," 463740.02","  67306.81"," 147567.43"," 188971.73"," 442758.44"," 466117.15"," 645726.08"," 144482.65"," 972356.23"," 209262.07"
"Dihydromethysticin","2252862.74","6565387.91","3304518.01","2206875.69","1353240.97","4945085.06"," 460660.60"," 329333.84"," 463740.02","  67306.81"," 147567.43"," 188971.73"," 442758.44"," 466117.15"," 645726.08"," 144482.65"," 972356.23"," 209262.07"
"Goniodiol 7-acetate","2252862.74","6565387.91","3304518.01","2206875.69","1353240.97","4945085.06"," 460660.60"," 329333.84"," 463740.02","  67306.81"," 147567.43"," 188971.73"," 442758.44"," 466117.15"," 645726.08"," 144482.65"," 972356.23"," 209262.07"
"Goniodiol 8-acetate","2252862.74","6565387.91","3304518.01","2206875.69","1353240.97","4945085.06"," 460660.60"," 329333.84"," 463740.02","  67306.81"," 147567.43"," 188971.73"," 442758.44"," 466117.15"," 645726.08"," 144482.65"," 972356.23"," 209262.07"
"Hamaudol","2252862.74","6565387.91","3304518.01","2206875.69","1353240.97","4945085.06"," 460660.60"," 329333.84"," 463740.02","  67306.81"," 147567.43"," 188971.73"," 442758.44"," 466117.15"," 645726.08"," 144482.65"," 972356.23"," 209262.07"
"Minumicrolin","2252862.74","6565387.91","3304518.01","2206875.69","1353240.97","4945085.06"," 460660.60"," 329333.84"," 463740.02","  67306.81"," 147567.43"," 188971.73"," 442758.44"," 466117.15"," 645726.08"," 144482.65"," 972356.23"," 209262.07"
"Murrangatin","2252862.74","6565387.91","3304518.01","2206875.69","1353240.97","4945085.06"," 460660.60"," 329333.84"," 463740.02","  67306.81"," 147567.43"," 188971.73"," 442758.44"," 466117.15"," 645726.08"," 144482.65"," 972356.23"," 209262.07"
"cis-Methylkhellactone","2252862.74","6565387.91","3304518.01","2206875.69","1353240.97","4945085.06"," 460660.60"," 329333.84"," 463740.02","  67306.81"," 147567.43"," 188971.73"," 442758.44"," 466117.15"," 645726.08"," 144482.65"," 972356.23"," 209262.07"
"trans-Methylkhellactone","2252862.74","6565387.91","3304518.01","2206875.69","1353240.97","4945085.06"," 460660.60"," 329333.84"," 463740.02","  67306.81"," 147567.43"," 188971.73"," 442758.44"," 466117.15"," 645726.08"," 144482.65"," 972356.23"," 209262.07"
"Casegravol","N/F","N/F","25512","371293","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F"
"Triethyl citrate","1727727","2150049","1913468","2058250","1308888","1864155","2355694","1712724","1385795","2088292","1570327","1778258","2118298","1818421","2174623","1213796"," 912834","1087962"
"Polyhydroxybutyrate","1727727","2150049","1913468","2058250","1308888","1864155","2355694","1712724","1385795","2088292","1570327","1778258","2118298","1818421","2174623","1213796"," 912834","1087962"
"Phe-Leu","2116458","1993992","1669944","2771176"," 983718","1685446"," 825065"," 367675"," 316653","1145001"," 905576","1005271"," 455826"," 321809","1365505"," 672531"," 485078"," 557690"
"Leu-Phe","2116458","1993992","1669944","2771176"," 983718","1685446"," 825065"," 367675"," 316653","1145001"," 905576","1005271"," 455826"," 321809","1365505"," 672531"," 485078"," 557690"
"Phe-Ile","2116458","1993992","1669944","2771176"," 983718","1685446"," 825065"," 367675"," 316653","1145001"," 905576","1005271"," 455826"," 321809","1365505"," 672531"," 485078"," 557690"
"Ile-Phe","2116458","1993992","1669944","2771176"," 983718","1685446"," 825065"," 367675"," 316653","1145001"," 905576","1005271"," 455826"," 321809","1365505"," 672531"," 485078"," 557690"
"Aristolactam AIa","132908","468353","247521","325383","535893","973432","61281","N/F","N/F","66669","N/F","N/F","N/F","N/F","61036","1356235","419912","600202"
"Aristolactam AIIIa","132908","468353","247521","325383","535893","973432","61281","N/F","N/F","66669","N/F","N/F","N/F","N/F","61036","1356235","419912","600202"
"1-methyladenosine","516089","962964","734878","2132545","332847","1259418","1610602","2216208","N/F","221401","N/F","83684","998112","218697","N/F","2491860","1774389","1954099"
"Xylobiose","3520306","1576031","2016780","3751531","3592233","1144392"," 732630"," 299482"," 290052"," 371999"," 724916"," 426699"," 491743"," 205821"," 283033"," 139613"," 349563","1379694"
"p-Vinylphenol glucoside","36577","131194","74104","97120","72024","N/F","126996","38630","97125","56288","162549","43453","19202","N/F","31716","103655","81169","103992"
"Paprazine"," 8357603"," 9810605"," 2984490"," 5617182"," 4087410"," 5233033"," 5770648"," 6167802"," 6975002"," 7074612","10901731"," 4287313"," 3673561","18771299","14362515"," 3167333"," 3030384"," 3040310"
"N-p-Coumaroyltyramine"," 8357603"," 9810605"," 2984490"," 5617182"," 4087410"," 5233033"," 5770648"," 6167802"," 6975002"," 7074612","10901731"," 4287313"," 3673561","18771299","14362515"," 3167333"," 3030384"," 3040310"
"Helicid","4180420","2794044","4638864","2018215","4804630","5892283"," 803478"," 475430"," 556371","3774011","1726146","1969688"," 670285"," 436331"," 354430","2073753","1944368","1990202"
"Phomaligol A","1489100","1770354"," 659506","1032919"," 717060"," 980021","1068454","1044094","1312653","1282942","1977681"," 707582"," 679287","3287018","2522157"," 521052"," 518890"," 486540"
"N-Benzoyl-(2R,3S)-3-phenylisoserine","2824725","1744854","1907077","4980747","2237020"," 349553","1195344"," 734610"," 113339","1158004"," 119109"," 586963","  70531"," 251913","  59020"," 276119"," 617852"," 685887"
"Arborinine","2824725","1744854","1907077","4980747","2237020"," 349553","1195344"," 734610"," 113339","1158004"," 119109"," 586963","  70531"," 251913","  59020"," 276119"," 617852"," 685887"
"Salicin","3125487"," 817435","1239289","4204622","1539592","1226470","1695201","1494364","1105422","1051353","1365826"," 580776"," 129817"," 229850"," 146973"," 673013"," 576450"," 610476"
"Gastrodin","3125487"," 817435","1239289","4204622","1539592","1226470","1695201","1494364","1105422","1051353","1365826"," 580776"," 129817"," 229850"," 146973"," 673013"," 576450"," 610476"
"Orcinol glucoside","3125487"," 817435","1239289","4204622","1539592","1226470","1695201","1494364","1105422","1051353","1365826"," 580776"," 129817"," 229850"," 146973"," 673013"," 576450"," 610476"
"D(-)-Salicin","3125487"," 817435","1239289","4204622","1539592","1226470","1695201","1494364","1105422","1051353","1365826"," 580776"," 129817"," 229850"," 146973"," 673013"," 576450"," 610476"
"Met-His","1444900","262221","731420","1221380","46998","333553","212218","175091","N/F","64550","31955","N/F","37979","60072","34020","N/F","29471","N/F"
"His-Met","1444900","262221","731420","1221380","46998","333553","212218","175091","N/F","64550","31955","N/F","37979","60072","34020","N/F","29471","N/F"
"Phlorin","3350544","2685955","2089682","3071332","2238479","1630863","2499735","1247712","1776024","1857965"," 969109","1185745","1370909","1283410","1593702","1078834","1244220","1180628"
"Tutin","13358","N/F","N/F","N/F","N/F","N/F","193858","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F"
"Corianin","13358","N/F","N/F","N/F","N/F","N/F","193858","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F"
"6-Gingerol","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F"
"IS-Dif","104372281","102507512","108922188","122511817","106560289","107008214","120356896"," 92145268"," 88597530","101044997","104507609","107433491"," 92389577"," 99544444"," 92643297"," 97901001"," 94336296"," 95401320"
"Caffeoylmalic Acid","4356992","6756892","5112818","7659126","8263668","8237783","1625463","1307439"," 955429","3683224","4864689","3801188"," 638555"," 170733"," 210513","2463126","1913312","1902087"
"Cordycepin_HCOO","3325186","2310760","1940969","5788731","3093284","3778180","2075731","1275061"," 836084","2103259","1892146","1541947"," 708001"," 414653"," 459298","1676392","1545520","1795962"
"7,4'-Di-O-methylapigenin","402782","153038","301922","14737","12873","47327","2797832","3170055","610326","1366402","1130524","1580617","N/F","N/F","N/F","15327","11330","14731"
"8-Demethylsideroxylin","402782","153038","301922","14737","12873","47327","2797832","3170055","610326","1366402","1130524","1580617","N/F","N/F","N/F","15327","11330","14731"
"Dimethoxylapigenin","402782","153038","301922","14737","12873","47327","2797832","3170055","610326","1366402","1130524","1580617","N/F","N/F","N/F","15327","11330","14731"
"Mosloflavone","402782","153038","301922","14737","12873","47327","2797832","3170055","610326","1366402","1130524","1580617","N/F","N/F","N/F","15327","11330","14731"
"Moslosooflavone","402782","153038","301922","14737","12873","47327","2797832","3170055","610326","1366402","1130524","1580617","N/F","N/F","N/F","15327","11330","14731"
"Pinocembrin 7-acetate","402782","153038","301922","14737","12873","47327","2797832","3170055","610326","1366402","1130524","1580617","N/F","N/F","N/F","15327","11330","14731"
"Puerol A","402782","153038","301922","14737","12873","47327","2797832","3170055","610326","1366402","1130524","1580617","N/F","N/F","N/F","15327","11330","14731"
"Syzalterin","402782","153038","301922","14737","12873","47327","2797832","3170055","610326","1366402","1130524","1580617","N/F","N/F","N/F","15327","11330","14731"
"Ricinoleic acid","1361115","1674899","1813509","1850279","1648145","1814756"," 993910","1873157","1558066","1456478","1213191","1363095"," 883084","1789861","1693230","1538996"," 671786","1096679"
"Methyl (2R,3S)-3-(benzoylamino)-2-hydroxy-3-phenylpropanoate"," 682816","1403113"," 246504"," 824531"," 519443"," 509890","1402077"," 529872"," 987961"," 633051","2070725"," 735916"," 603663"," 463193"," 775951","1263301","1164737","1223972"
"N-p-Coumaroyloctopamine"," 682816","1403113"," 246504"," 824531"," 519443"," 509890","1402077"," 529872"," 987961"," 633051","2070725"," 735916"," 603663"," 463193"," 775951","1263301","1164737","1223972"
"Demethylcephalotaxinone"," 682816","1403113"," 246504"," 824531"," 519443"," 509890","1402077"," 529872"," 987961"," 633051","2070725"," 735916"," 603663"," 463193"," 775951","1263301","1164737","1223972"
"1-(4-Hydroxybenzoyl)glucose","3668241","1717874","3748677","3208655","2291603","3866684","2297345","2442974","2677691","2884399","1740580","2947326","1170375","1204329"," 762931","5537366","4609858","4882334"
"N-Acetyl-alpha-D-glucosamine 1-phosphate/N-acetyl-D-glucosamine-6-phosphate/N-Acetyl-D-mannosamine 6-phosphate","8342091","4652366","5137224","5309499","5631621","2123828","4759149","4880720","5191775","7094664","7089560","5756943","3625544","5413461","6124496","4498745","4109306","3929076"
"Salirepin","1266551.9","2245616.1","2293702.3","1286323.4"," 309197.5","1563118.7"," 786494.3"," 973993.1","3573788.7"," 649034.8","1529461.7"," 446985.7","1263658.1","2161849.4","6321536.9","1988010.7","2431570.9","2947790.4"
"Tachioside","1266551.9","2245616.1","2293702.3","1286323.4"," 309197.5","1563118.7"," 786494.3"," 973993.1","3573788.7"," 649034.8","1529461.7"," 446985.7","1263658.1","2161849.4","6321536.9","1988010.7","2431570.9","2947790.4"
"Isotachioside","1185326","2238461","N/F","1648286","1440952","1559170","N/F","1618256","9523135","2638391","1521286","2152624","4327417","N/F","6444338","5341594","4818586","3084169"
"Capsiate","5238413","6491835","2660736","2322307","1703448","631723","598868","79497","N/F","1902149","1509032","1269986","258644","N/F","85904","133320","168137","149158"
"Deoxyuridine monophosphate","479265","N/F","N/F","N/F","674498","N/F","N/F","174586","411885","N/F","654483","257658","N/F","N/F","N/F","N/F","N/F","N/F"
"N-acetylneuraminate","1490253","1213814","495644","3027327","2206251","1630397","N/F","N/F","N/F","716831","627818","261802","N/F","N/F","N/F","17430","14864","N/F"
"Sorokinianin","29256105","27752265","25661437"," 9622865","14522563","14583374"," 3375128"," 1941057","  977097","14879140"," 8327938"," 9808864"," 2431356","  363664"," 1542201"," 2208629"," 2862937"," 2378382"
"Ribulose 1,5-diphosphate","2297782","1713439","1745624","137263","367841","327135","N/F","N/F","N/F","280397","1867972","279837","N/F","N/F","N/F","N/F","N/F","299902"
"6-Deoxyjacareubin","233682","293689","132705","302612","200433","204572","116797","74099","N/F","528355","21763","1005282","N/F","21574","N/F","N/F","69203","26345"
"Glu-Tyr"," 831805","1249313"," 655372","1476161"," 338920","1008166"," 589763"," 463276"," 453270"," 599038"," 775784"," 756125"," 290932"," 343512"," 397615"," 541923"," 443003"," 534423"
"Tyr-Glu"," 841643","1249313"," 655372","1561030"," 534515","1022990"," 589763"," 463276"," 485018"," 599038"," 785172"," 756125"," 290932"," 355795"," 397615"," 923290"," 443003"," 534423"
"Tyr-Met","N/F","N/F","N/F","N/F","N/F","264518","N/F","N/F","N/F","N/F","414845","N/F","N/F","N/F","N/F","N/F","N/F","N/F"
"Met-Tyr","N/F","N/F","N/F","N/F","N/F","264518","N/F","N/F","N/F","N/F","414845","N/F","N/F","N/F","N/F","N/F","N/F","N/F"
"Phe-Phe","31719","38639","15816","N/F","N/F","13237","21267","N/F","N/F","N/F","N/F","18527","N/F","N/F","N/F","N/F","N/F","N/F"
"Adenosine_HCOO","100640754","110695449"," 71385335","104909488"," 96533871"," 80244835"," 48734686"," 31067181"," 22578152"," 75090215"," 81579643"," 51541754","  6980134","  4796553","  5017550"," 46529961"," 37482757"," 38655087"
"7-Prenyloxy-?-Fagarine","22625835"," 7641546"," 5891012"," 8421552"," 7867682"," 4690617"," 4639320","20972941"," 9527743"," 6774035","13131511"," 6102997"," 2424452"," 8588332"," 4456949"," 5188445"," 4886875"," 4968420"
"Laurolitsine","22625835"," 7641546"," 5891012"," 8421552"," 7867682"," 4690617"," 4639320","20972941"," 9527743"," 6774035","13131511"," 6102997"," 2424452"," 8588332"," 4456949"," 5188445"," 4886875"," 4968420"
"N-Feruloyltyramine","22625835"," 7641546"," 5891012"," 8421552"," 7867682"," 4690617"," 4639320","20972941"," 9527743"," 6774035","13131511"," 6102997"," 2424452"," 8588332"," 4456949"," 5188445"," 4886875"," 4968420"
"N-cis-Feruloyltyramine","22625835"," 7641546"," 5891012"," 8421552"," 7867682"," 4690617"," 4639320","20972941"," 9527743"," 6774035","13131511"," 6102997"," 2424452"," 8588332"," 4456949"," 5188445"," 4886875"," 4968420"
"Norboldine","22625835"," 7641546"," 5891012"," 8421552"," 7867682"," 4690617"," 4639320","20972941"," 9527743"," 6774035","13131511"," 6102997"," 2424452"," 8588332"," 4456949"," 5188445"," 4886875"," 4968420"
"Norisoboldine","22625835"," 7641546"," 5891012"," 8421552"," 7867682"," 4690617"," 4639320","20972941"," 9527743"," 6774035","13131511"," 6102997"," 2424452"," 8588332"," 4456949"," 5188445"," 4886875"," 4968420"
"1,2,3,7-tetramethoxyxanthone","298403","124285","205696","N/F","30771","27032","1692114","1750467","375961","922203","397877","886470","N/F","N/F","N/F","136257","69178","30516"
"3'-Hydroxy-3,9-dihydroeucomin","298403","124285","205696","N/F","30771","27032","1692114","1750467","375961","922203","397877","886470","N/F","N/F","N/F","136257","69178","30516"
"6-Methyl-7-O-methylaromadendrin","298403","124285","205696","N/F","30771","27032","1692114","1750467","375961","922203","397877","886470","N/F","N/F","N/F","136257","69178","30516"
"7,2'-Dihydroxy-5,8-dimethoxyflavanone","298403","124285","205696","N/F","30771","27032","1692114","1750467","375961","922203","397877","886470","N/F","N/F","N/F","136257","69178","30516"
"8-O-Demethyl-7-O-methyl-3,9-dihydropunctatin","298403","124285","205696","N/F","30771","27032","1692114","1750467","375961","922203","397877","886470","N/F","N/F","N/F","136257","69178","30516"
"Byakangelicol","298403","124285","205696","N/F","30771","27032","1692114","1750467","375961","922203","397877","886470","N/F","N/F","N/F","136257","69178","30516"
"Eucomol","298403","124285","205696","N/F","30771","27032","1692114","1750467","375961","922203","397877","886470","N/F","N/F","N/F","136257","69178","30516"
"Homoferreirin","298403","124285","205696","N/F","30771","27032","1692114","1750467","375961","922203","397877","886470","N/F","N/F","N/F","136257","69178","30516"
"Imperatorin_HCOO","298403","124285","205696","N/F","30771","27032","1692114","1750467","375961","922203","397877","886470","N/F","N/F","N/F","136257","69178","30516"
"Neobyakangelicol","298403","124285","205696","N/F","30771","27032","1692114","1750467","375961","922203","397877","886470","N/F","N/F","N/F","136257","69178","30516"
"Nyasicol","298403","124285","205696","N/F","30771","27032","1692114","1750467","375961","922203","397877","886470","N/F","N/F","N/F","136257","69178","30516"
"3,4-Dimethoxyphenyl glucoside","593553","650610","218164","330928","44712","254711","15750","272862","N/F","735999","287050","87729","16748","N/F","N/F","18598","61509","15532"
"Cimidahurinine","593553","650610","218164","330928","44712","254711","15750","272862","N/F","735999","287050","87729","16748","N/F","N/F","18598","61509","15532"
"Lycorenine","12621","N/F","61790","19646","11965","N/F","74863","N/F","N/F","N/F","N/F","N/F","12139","N/F","13975","N/F","74484","65084"
"Arbutin_HCOO"," 3366495"," 2375104"," 4894192"," 3999148"," 1702797"," 4542085"," 3517714"," 6159849","12729914"," 2705265"," 1908386"," 3576737"," 2617771"," 6618229","16103356"," 3683825"," 3066774"," 3038478"
"8,9-epoxy-3,10-diisobutyryloxythymol","836672","N/F","140780","231414","57244","120522","5396159","2386133","2184629","771778","534801","687079","N/F","N/F","N/F","164098","142771","154296"
"dTMP","2179098","3473847","2395832","2337881","2972377","3377839"," 649317"," 525712"," 375973","1955282","1547210","1426586","  69277","  42363"," 140062"," 875260"," 613209"," 656640"
"8-Gingerol","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F"
"Clovanediol diacetate","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F"
"Cytidine 5'-monophosphate","25103796","17418742","24986815","14369362","16110122","11682620"," 8373803"," 8036326"," 5828556","16249673","14817663","13788652"," 1611764"," 1400271"," 1566083"," 6494017"," 7062069"," 5916796"
"Uridine 5'-monophosphate","394327866","365987952","412111277","266427241","308165033","291794434","167204788","154975810","128632334","304756158","255879665","246035495"," 46282846"," 56413529"," 74139928","116875765","123414690","123851072"
"Sterigmatocystin","7165354","1777424","2788054","8523922","3506766","2767752","3077078","1424807","1110078","3017436","3175224","1790799"," 566286"," 233286"," 298207","1322942","1068473","1269247"
"Skimmin","1254460","2503273","979226","3214053","3103126","2705885","59203","59995","N/F","587808","848810","384815","N/F","N/F","N/F","329288","392895","400360"
"Gliotoxin","8031434","7014338","7294156","3996070","5421444","5588088","2473139","2061101","2759812","4749510","4379049","3884993","N/F","680933","295604","1567200","1402065","2079186"
"5-Hydroxy-7-acetoxy-8-methoxyflavone","4811930","3279949","38661712","185650","1457699","923700","2713004","3681881","1077615","7971326","11186648","18444448","N/F","N/F","N/F","2952905","472552","509820"
"Isojacareubin","4811930","3279949","38661712","185650","1457699","923700","2713004","3681881","1077615","7971326","11186648","18444448","N/F","N/F","N/F","2952905","472552","509820"
"O-Demethylforbexanthone","4811930","3279949","38661712","185650","1457699","923700","2713004","3681881","1077615","7971326","11186648","18444448","N/F","N/F","N/F","2952905","472552","509820"
"Bengenin","540977","1062183","393178","1329024","896038","1301424","N/F","N/F","N/F","304429","303636","109654","N/F","N/F","N/F","169942","N/F","144767"
"Spiculisporic Acid","8976936","7981562","14583446","15179344","19032041","19071312","11529928","16273506","8076397","8305989","8985551","8215199","15919192","N/F","24545520","10111606","7085588","7023031"
"Octopamine, N-feruloyl-","19795286"," 3929341"," 3793256"," 3686094"," 2991352"," 3891153"," 1104795"," 2410399","  819158"," 2018987"," 3390331"," 1568075","  784492"," 2250153"," 2405696"," 5417353"," 5017967"," 5157073"
"Evodine","19795286"," 3929341"," 3793256"," 3686094"," 2991352"," 3891153"," 1104795"," 2410399","  819158"," 2018987"," 3390331"," 1568075","  784492"," 2250153"," 2405696"," 5417353"," 5017967"," 5157073"
"Methyl 6-glucosyloxysalicylate","17068365","11471658","17805382"," 7297712","19342859","23274822"," 2407378"," 1418006"," 2051736","15223448"," 7074886"," 7606922"," 1544406"," 1122049","  780879"," 8056033"," 6680823"," 7271064"
"Myrciaphenone A","17068365","11471658","17805382"," 7297712","19342859","23274822"," 2407378"," 1418006"," 2051736","15223448"," 7074886"," 7606922"," 1544406"," 1122049","  780879"," 8056033"," 6680823"," 7271064"
"Phloracetophenone 4'-O-glucoside","17068365","11471658","17805382"," 7297712","19342859","23274822"," 2407378"," 1418006"," 2051736","15223448"," 7074886"," 7606922"," 1544406"," 1122049","  780879"," 8056033"," 6680823"," 7271064"
"Helicid_HCOO","17068365","11471658","17805382"," 7297712","19342859","23274822"," 2407378"," 1418006"," 2051736","15223448"," 7074886"," 7606922"," 1544406"," 1122049","  780879"," 8056033"," 6680823"," 7271064"
"1-Hydroxy-2,3,4,7-tetramethoxyxanthone","N/F","N/F","N/F","N/F","N/F","N/F","149316","N/F","N/F","55969","N/F","N/F","546140","N/F","100767","546549","288649","732963"
