,MG_1_1,MG_1_2,MG_1_3,Br3_1_1,Br3_1_2,Br3_1_3,Br7_1_1,Br7_1_2,Br7_1_3,Br10_1_1,Br10_1_2,Br10_1_3,Br15_1_1,Br15_1_2,Br15_1_3,QC1,QC2,QC3
PA(18:1(9Z)/18:1(11Z)),305020,214219,238844,215249,126205,128048,276229,354274,217168,282773,223666,246628,195525,144965,183377,0,209191,276773
2-Dodecylbenzenesulfonic acid.3,10613866,7036122,5992010,7594481,4897612,7788718,5337875,5386556,5668884,6077312,6402088,4793029,7999994,7238664,4817206,508329,4632037,4216996
Arachidonic sulfonic acid,628103,965640,1054825,639681,327072,695397,511847,582787,523497,629438,717138,432295,716144,592456,526532,1277458,408423,359093
Arachidonic sulfonic acid.1,6422788,4793699,3282136,4932264,2749519,5346794,3457970,3824448,3764056,3809272,4597783,3315316,4668233,4171040,2980743,332038,3098338,2645929
PS(15:1(9Z)/14:0),13160,9385,6660,15369,0,20762,37904,47320,50434,40936,25046,39214,140837,191636,26324,7584,14130,7394
"2-[3-(difluoromethyl)anilino]-1,7-dihydropurin-6-one",0,0,0,0,0,0,57583,53816,0,113397,60332,111524,586097,607525,314959,4856,5174,13908
PubChem_91219838.1,360308,731857,676212,316745,294568,402283,178875,187365,254723,170623,205693,204346,145064,144830,159561,678029,391310,319287
6'-O-alpha-D-glucopyranosylloganic acid,0,0,0,4998,2666,7237,47446,53669,8012,88206,91165,48521,168646,240519,60927,0,3928,14517
"N-(carbamoylimino)-3,5-dichloro-4-methoxybenzen-1-amine oxide.2",59068,67369,83298,134654,124996,94679,149199,199617,279800,133041,134483,175677,45714,50128,67686,53795,72926,86182
Ranunculin,56472,217490,103142,241317,355473,255546,102229,129450,425107,355540,50560,244148,221720,195777,85017,71752,126492,101123
Cuscutic acid A1;(-)-Cuscutic acid A1,164180,135411,211942,77322,172965,118392,80935,86060,133744,96279,194418,256270,86859,48312,65624,88719,100014,123251
"PG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/19:1(9Z))",39009,8192,9968,19331,33978,29910,151363,149259,50543,279469,335588,348005,570539,443526,132453,6174,24051,36721
PubChem_11205.1,69836,3496,3825,180441,135961,125805,121168,136642,224218,125956,138399,139688,98330,95445,103337,0,60380,90284
"2,4-diiodo-1-methoxybenzene",1633032,1821909,1709000,1667071,1421631,1479343,559006,525333,753534,385199,373447,438303,369078,445574,582533,2033463,1719469,1628155
"5-(acetyloxy)-1,7-bis(4-hydroxy-3-methoxyphenyl)heptan-3-yl 2-[3-(hydroxymethyl)phenyl]heptanoate",157305,100224,83354,91169,77096,69228,226026,165578,143647,111753,683334,586029,60705,31954,59475,44613,122858,151581
PubChem_134860106.5,214050,308833,293540,172066,138782,139625,92160,73337,105604,80618,93242,79732,58458,57576,58726,249784,219707,187218
"(1R,2R,8S,13R)-4,11-dioxo-3,5,7,10,12,14,15-heptaoxa-4lambda5,11lambda5-diphosphapentacyclo[9.2.1.14,6.02,6.08,13]pentadecane-1,2,8,9,13-pentol.5",117821,89934,94102,233144,251706,345933,396814,500422,399100,497513,475046,428741,496210,412121,497525,60108,97261,138383
Decylbenzenesulfonic acid.3,4075590,579808,458651,3273186,2781644,3485755,2405096,2677756,2671844,2788924,2800776,2181649,3499309,2993382,2318198,111739,1720204,1991043
Naringenin,0,0,0,329700,584842,430862,492528,294846,708956,205541,184799,234948,35029,33801,52131,13368,39083,62395
PubChem_134873478,96753,147196,152245,138844,198009,165189,62157,89412,98016,66186,60643,56210,47472,47561,57795,189144,129513,98043
"1,2-Di-(9Z,12Z-octadecadienoyl)-sn-glycero-3-phosphate.4",4925072,967170,1053661,4338713,2981172,3193345,7527191,6067447,5060816,5405648,5909042,6562228,4142029,3245483,3362252,253925,2095985,4963176
"[[(1S,4R)-4-(2-amino-6-oxo-7,8-dihydro-1H-purin-9-yl)cyclopent-2-en-1-yl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate",116636,26852,13950,24624,53566,24714,104771,272638,40854,81473,182294,84535,104493,229521,175564,19461,62971,96019
"PA(18:0/18:2(9Z,12Z)).5",339373,259801,229846,318858,181948,176873,351206,402433,303567,358758,286653,291362,272703,215314,216056,5183,242669,326699
N-Benzoylaspartic acid.8,70660,101804,161651,556781,517217,522324,233532,360476,271332,301208,415790,407714,480017,458917,431633,161181,189922,229530
Isoamericanin A,0,0,0,0,2691,0,0,3747,0,4838,6527,3103,201764,171403,23415,3456,7472,2764
"PG(22:2(13Z,16Z)/0:0).3",266725,101413,100773,217011,166979,173707,353968,310274,282402,329797,451482,457698,255164,182674,184717,35862,141328,303586
Pantoyllactone glucoside,111579,136774,184276,233354,355269,101029,189929,200933,141363,582008,181222,210157,231924,365375,135909,189926,188956,166637
UNPD123486,17716,23314,21514,9773,13945,23099,75373,86725,43354,27859,80462,63565,403815,412095,157595,56771,31490,66773
FR227244,63021,147704,92726,0,57471,65274,22759,20730,41801,20394,14308,80111,29622,19311,0,88878,38671,30137
Phytosulfokine a,0,0,0,19439,15451,35084,151254,49743,74363,79384,64591,65552,84276,107040,66029,4162,5837,2444
3-Methoxytyrosine.1,178093,154754,228967,307747,359415,343454,162878,182714,131751,152280,156499,146994,298366,273661,188403,201501,445133,455621
1-Acetoxy-2-hydroxy-16-heptadecen-4-one,8171,6019,1953,21658,0,5531,602641,245636,30899,644500,220112,187630,1570247,907682,819156,19735,7395,7541
"N''-{[3-({3-[2-(2-aminopyridin-4-yl)ethoxy]-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl}oxy)-4-hydroxy-9,10-dioxo-9,10-dihydroanthracen-2-yl]methyl}guanidine",13307,0,8281,10786,9734,11857,69451,94386,32645,93158,77805,132001,183185,175970,103097,0,4315,8037
PA(18:1(11Z)/18:1(9Z)),360333,419881,251066,540576,168845,253236,505735,461303,259972,398012,675507,688592,738213,1183276,566444,252369,678939,339450
2-Hydroxyphenylacetic acid O-b-D-glucoside,44680,38577,63707,57415,104846,70182,39248,99601,115478,150299,40983,67278,108850,110479,36456,71332,73869,82757
PubChem_129961683,175408,260383,254892,130558,109367,155881,79774,84583,102497,84396,91927,83031,83672,64452,68754,269822,191951,170442
UNPD212639,3479,12277,7901,78584,8959,15423,34869,20604,17143,104710,53968,53796,365399,286449,171507,4316,14455,9667
UNPD216668,0,0,0,0,0,0,4001,0,0,3849,0,0,25633,26354,0,3168,5970,5105
PubChem_11205.2,64876,0,3825,180441,156264,125805,121168,136642,224218,160329,164289,139688,98330,95445,103337,0,62844,90284
D-Arabino-hexos-2-ulose,1692703,1002103,1178844,2106968,3007545,3154063,1304824,1196268,1224940,1336176,1179079,1175924,944268,879039,799875,1043279,1333833,1588904
Glucocheirolin,0,0,0,116540,57871,122064,1840526,651359,586205,469639,290284,294168,11642,6912,161487,3703,4485,3021
2-Bromo-4-(2-pyridyl)thiazole,76317,37715,9719,112798,159640,127458,210658,181820,180553,199944,204296,207770,243230,218904,206810,6875,68997,95611
UNPD44866,863,0,0,5402,4330,5009,65674,40994,11455,91873,55631,58326,356778,399115,112389,2679,2089,4775
PubChem_19901294,229569,249359,249065,196589,150999,173146,83038,81572,102026,86791,90152,88267,61632,59580,60444,218767,253177,218699
UNPD201538,0,45332,60642,11569,33142,61811,0,5928,5456,26713,0,10705,12271,11779,6333,62862,48792,45198
"2-{6-oxo-1-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]-1,6-dihydropyridin-2-yl}acetic acid",15729,29198,36576,39625,76264,38817,23621,23797,60622,57891,41513,23586,9313,18056,8591,35043,40053,30258
2-Dodecylbenzenesulfonic acid.4,1620410,2615252,2698071,1497769,794126,1710800,1145364,1195566,1125881,1214310,1561514,1147138,1600809,1449391,1038297,2927391,853175,761751
"(3,4,5-trihydroxy-6-{[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}oxan-2-yl)methyl 2-methylbut-2-enoate",41037,29053,23907,13551,24333,24203,16884,27357,23067,19663,10494,16929,5694,0,6133,15362,15495,13717
PS(17:1(9Z)/22:1(11Z)),373724,536521,482096,348231,118349,280200,60103,87887,109173,77044,101514,145908,248887,145516,119673,353771,412991,427700
PubChem_137553600,1294977,1510052,1439299,1480270,1143144,1156215,545221,489358,585998,409437,365629,334783,421214,424294,561320,1657066,1561543,1365889
LQA00328 PI(16:1/13-HODE).1,72300,107365,88121,96544,63420,221312,101026,96687,86736,103148,269535,173901,193873,100217,121569,65859,165797,216464
"2-({[3-(3,4-dihydroisoquinolin-2(1H)-ylsulfonyl)phenyl]carbonyl}amino)benzoic acid.1",268368,4390,4051,31520,97400,77168,40818,88615,59846,94951,108258,57771,78240,32486,38398,0,79220,104090
UNPD229773,96982,51808,48475,45819,32267,61892,261917,294640,135160,513737,405206,629339,359481,272671,173397,18709,60459,78542
"PG(22:2(13Z,16Z)/0:0).4",477538,199378,240663,359542,309854,266040,414157,398541,389525,429150,785134,819666,394391,301085,283696,75381,338497,538792
UNPD55142,26127,2826,2163,739,3612,0,0,0,0,11303,0,0,86421,127485,37032,11816,12296,14832
UNPD204541,3964694,4436413,3999233,4351642,3391275,3435614,1382525,1315937,1753758,912224,945048,947470,1026714,1036218,1467843,4570059,4156496,3994236
PubChem_66221341.1,325129,686569,678702,288124,282557,388853,208789,199301,275205,235748,255163,259014,178111,187152,183645,838343,449937,361614
"12-(1,1,2,2,3,3,3-heptafluoropropyl)-12-hydroxy-2,8-dimethoxy-4,13-dioxatricyclo[7.4.0.0?,?]trideca-1(9),2,5,7-tetraen-10-one",317001,115680,638966,24972,70537,251802,42813,126613,69485,17235,82081,209763,274429,315061,206547,160031,146668,280240
PubChem_19362160.2,1392261,418214,486653,2712858,3037451,2850386,2639796,3170636,3759949,3261425,3208557,3315526,2860836,2857822,2510140,252169,850455,1225620
"1'-benzoyl-5',7'-dimethyl-2'-[4-(2-methylpropyl)benzoyl]-1,2,2',3'a-tetrahydro-1'H-spiro[indole-3,3'-pyrrolo[1,2-a]quinolin]-2-one",0,0,0,0,0,0,0,0,0,6430,0,3599,57567,63369,16615,12066,9588,4719
PubChem_25520531,12317,101284,78855,217063,170083,246071,337137,200459,250048,396656,407702,371251,331414,318694,199263,390702,212174,169893
PubChem_83580.4,252873,68127,79734,277207,238525,249360,345232,469055,333464,456038,421028,481572,469314,491225,437742,49594,144176,200401
N-(Carbethoxyacetyl)-4-chloro-L-tryptophan,193860,596007,472017,446753,322361,378677,524082,472720,322158,457178,339694,387587,482736,413505,453685,545299,301042,264477
UNPD98886,22686,2938,9117,16935,33791,25404,17217,75923,23469,24024,65593,70870,97243,240874,84125,0,8341,15638
PA(18:1(9Z)/18:1(11Z)).1,397326,249515,251421,392856,211401,225108,396090,479298,315435,405888,325875,356553,363270,232526,270548,0,289724,326699
"PG(22:2(13Z,16Z)/0:0).5",278803,110240,110860,227260,185256,165963,353968,310274,285707,298847,432855,434271,244850,213606,217900,39400,163906,293022
(3S)-3-[[(2S)-2-[[(2S)-2-[[(2S)-2-amino-3-(4-hydroxyphenyl)propanoyl]amino]-3-methylbutanoyl]amino]propanoyl]amino]-4-oxobutanoic acid,5311,972,6457,0,0,1185,2519,2307,0,12110,7614,7029,140389,130326,68184,8808,9333,11042
"PS(18:2(9Z,12Z)/0:0)",379377,160461,111166,518648,500837,464043,2436962,1010989,631130,1520233,840824,916150,1353002,739957,1239307,9389,189520,224978
CNP0433802,153960,61792,25906,139491,247442,147381,262824,440115,264098,313075,169303,257276,47563,84669,90545,11617,78493,109828
"2,12,13-trihydroxy-5,9-dimethyl-12-(3-methyl-6-phenylhexyl)-13-[2-(5-oxo-2,5-dihydrofuran-3-yl)ethyl]-5-{2-[(1-phenylcyclohexyl)methyl]spiro[4.5]decan-8-yl}tricyclo[7.3.1.0?,?]tridec-10-en-7-yl cyclohexanecarboxylate",118246,78724,115754,0,20817,39979,0,38886,41965,12141,0,39646,0,0,0,31950,16774,37981
"2-(4-bromo-1H-pyrazol-1-yl)-1-[4-({4-methoxy-6-methyl-2H,5H,6H,7H,8H-[1,3]dioxolo[4,5-g]isoquinolin-9-yl}sulfonyl)piperazin-1-yl]ethan-1-one",133142,340866,119839,98095,98390,129020,27128,44533,71051,47402,9744,32697,9871,37794,25007,105702,59517,49138
"PC(o-22:3(10Z,13Z,16Z)/22:3(10Z,13Z,16Z))",78630,91909,150323,119288,140036,131917,241862,328784,236746,284153,240338,294203,45463,114833,139257,58482,76478,103188
PubChem_89518081.1,64785,151701,166166,53736,50281,56425,57824,63278,69292,61720,80879,66258,56120,65087,55173,156092,141934,58539
Geometricin A,434375,174842,130589,229865,186796,431737,627078,978677,970618,815250,1328417,1156997,378154,180149,484817,73946,135238,144309
Scleroglucan,0,7211,10722,248554,49896,68748,1912293,835630,166704,276477,393907,750295,188818,53205,416597,15074,6618,25875
PubChem_136164315,307682,80878,73820,169578,297127,176254,330334,506694,293956,347973,371781,281215,103750,109443,186387,18255,99520,132223
PubChem_44515539,28573,2856,1207,0,0,0,22884,0,0,18957,11302,0,0,0,0,8664,13229,8218
"PG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/17:1(9Z))",120036,58407,80043,116640,86974,198542,219305,307357,418515,361039,364468,292832,177372,137319,108459,25772,9569,19011
"PC(o-22:3(10Z,13Z,16Z)/22:3(10Z,13Z,16Z)).1",81357,91909,150323,125325,160184,125146,253075,367445,212278,284153,240338,294203,45463,114833,118497,58482,76478,113866
"[[(1S,4R)-4-(2-amino-6-oxo-7,8-dihydro-1H-purin-9-yl)cyclopent-2-en-1-yl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate.1",285231,36663,21710,105554,213650,108382,308341,242317,235380,303685,163744,298388,277123,254004,286003,16970,113749,138254
4-Bromobenzothioamide.1,106767,64830,60123,148901,201684,183327,255898,263830,209560,218787,229812,249590,280873,304231,302179,42539,76276,120467
PubChem_137553600.1,220927,268520,255202,230917,177252,211428,102906,103239,140088,104608,91999,91420,74328,71273,69101,226208,271771,224154
dTDP-D-glucose,0,0,2442,6518,17031,4497,428605,48560,18117,19062,27865,14316,0,11686,39904,6663,8352,6738
"PI(16:0/18:3(6Z,9Z,12Z))",1208702,1309930,1257281,937375,1072627,1121895,612568,623608,666236,733907,385428,312139,724730,746391,634380,682729,1564431,1442737
"(1R,2R,8S,13R)-4,11-dioxo-3,5,7,10,12,14,15-heptaoxa-4lambda5,11lambda5-diphosphapentacyclo[9.2.1.14,6.02,6.08,13]pentadecane-1,2,8,9,13-pentol.6",168963,128359,120063,282836,333634,411817,420562,560911,477887,460182,461955,493741,465009,468675,471153,66002,145684,185172
UNPD229773.1,238435,105823,114107,135360,94828,114598,987802,1303768,495824,1987006,1747454,2551962,1286345,998610,612918,36348,145873,182517
Dihydro-2(3H)-thiophenone,5995,4825,5334,64725,101928,130579,83224,152831,78617,24192,19183,41194,6228,20285,0,18820,14889,11946
loflucarban,282497,218477,223369,414858,395422,424863,437060,440497,510437,498591,163657,485009,314827,207367,135084,144740,246079,251227
"1-(4-methoxyphenyl)-2-[(4-methylphenyl)methyl]-1H,2H,3H,4H,9H-pyrido[3,4-b]indole",17963,218013,183262,204013,5470,0,4364,37424,54148,47557,29111,35640,28096,14169,0,17893,10179,15578
"12-({2-[4-amino-4-hydroxy-1-(1H-imidazol-4-yl)butyl]-4-(hydroxymethyl)-5-oxopyrrolidin-3-yl}methyl)-11-hydroxy-2,9-bis(hydroxymethyl)-2,6a,6b,9,12a-pentamethyl-6-pentyl-10-[(3,4,5-trihydroxyoxan-2-yl)oxy]-1,2,3,4,4a,5,6,6a,6b,7,8,8a,9,10,11,12,12a,12b,13,14b-icosahydropicene-4a-carboxylic acid",263895,188981,147777,165897,176144,136288,343743,333791,180390,385090,304569,202639,2026039,2072990,837705,178935,166877,174114
4-Bromobenzothioamide.2,123123,59992,67286,163456,227896,203216,308248,293392,280866,279945,281946,276934,314376,314202,357288,49130,84751,119444
Polypodoside C,94337,130209,105295,14077,14598,12889,0,0,7040,0,0,0,4821,8373,9385,27302,17891,18045
UNPD171472,243626,66889,19478,118570,201387,83733,287943,393627,212358,290701,89114,224571,97693,146385,197650,23932,108375,151870
UNPD171472.1,243626,66889,38705,118570,201387,83733,287943,393627,212358,290701,230271,224571,97693,146385,197650,23932,108375,151870
"PG(18:2(9Z,12Z)/16:1(9Z)).3",162626,325556,602732,194611,273934,349389,165562,108482,107384,311711,85589,106233,123640,189519,161437,144343,361556,141383
PubChem_129963728.5,504251,697085,688985,383103,356576,394040,221914,241549,283334,238628,251042,233160,215572,211744,195693,743220,563867,472192
"PS(17:0/22:4(7Z,10Z,13Z,16Z))",1360996,1416853,1435182,1109027,1300746,1138124,351641,376757,725241,127559,129590,128459,216985,249727,368228,2797347,1604680,1724048
PubChem_163825626,0,0,0,0,0,0,0,0,0,0,0,0,58941,61500,0,49899,39892,36940
UNPD67349,130722,150038,113000,263866,233617,96473,112796,170296,208747,358084,152866,58891,52869,190309,72896,160137,132983,144955
"PC(15:0/18:3(6Z,9Z,12Z))",173697,255434,251341,337067,178385,215672,159020,370084,203704,228747,272823,172247,242732,367021,203172,107386,234690,223743
"2-bromo-3,3,3-trifluoro-N,N-dipropyl-2-(trifluoromethyl)propanamide",57126,97904,67285,169907,139425,287086,100302,108266,326886,280125,65488,136809,179771,201500,122096,46445,110392,133730
(2S)-1-[(2S)-2-[[2-[(2-aminobenzoyl)amino]acetyl]amino]-3-(4-nitrophenyl)propanoyl]pyrrolidine-2-carboxylic acid,116202,18163,6927,27585,0,9074,95214,309248,126322,546779,473080,645113,378009,324740,97152,17594,10031,7957
"1,1'-Ethylidenebistryptophan.1",224551,471829,472521,305414,279186,208974,199576,284306,349504,150983,155335,160067,90475,101336,122277,534005,265392,201845
Sucrose octaacetate,0,0,0,57510,28461,42326,100648,182135,36213,928632,77295,170451,178253,123734,248480,57062,51036,101875
PubChem_131367679,458862,520073,542137,533905,377829,399139,210918,203894,278215,171824,181091,181423,127756,123808,120041,412838,513203,444463
PubChem_136721112,176169,300237,301298,155450,119862,104920,47047,63887,77606,52696,50312,59472,91730,87668,81631,348479,254662,189802
"2-[3,4-dihydroxy-3-(propan-2-yl)butoxy]-6-({[3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxy}methyl)oxane-3,4,5-triol",177438,214144,195382,166674,320742,161648,127536,459759,83743,243192,99237,256767,164094,364134,97551,153506,174962,179110
"2-[4-[2-(3,5-dichloroanilino)-2-oxoethyl]phenoxy]-2-methylpropanoic acid",1825589,4759664,4658797,2078044,2151985,2665044,1267874,1211833,1912865,932658,1230448,1158719,375731,107391,468154,2365352,767243,1029133
N-Undecylbenzenesulfonic acid.1,1546440,766134,705959,1199501,801925,993499,912604,1103072,1116292,1236440,1186155,944969,1606744,1634836,1012000,90229,565602,695411
2-Bromobenzenecarbothioamide,65752,47289,34052,81232,123813,128919,204817,204629,148824,189056,162488,212413,227243,201911,298209,36895,52521,58161
2'-acetoxy-7-chlorocitreorosein,756,9735,24957,12210,10806,6653,0,6401,13780,9654,12720,2351,14910,29351,12595,10052,9603,5983
LQA00328 PI(16:1/13-HODE).2,76971,95818,91466,115435,85552,266338,120807,100681,139644,120065,272106,201613,244920,132932,114466,84036,166971,195901
N-Benzoylaspartic acid.9,65480,68009,121757,351928,385616,360378,217372,315956,220008,273282,374701,368511,441011,439415,394768,86134,116714,157756
N-Benzoylaspartic acid.10,79162,112589,175436,556612,556634,522324,256367,337319,257583,284315,390567,369209,455880,451810,431633,174046,199716,224056
"benzene-1,2,4-triol.1",504750,264267,408478,709114,1020725,1041443,712437,815385,635834,853278,1002171,999974,1280695,1478176,1226101,144287,387695,507408
"Phenol, 2-bromo-4-chloro-6-nitro-",168323,82622,76790,201324,269586,232590,375185,342701,313754,312858,328035,303078,493485,445900,390001,47491,129856,174146
Quercetagitrin,66811,89712,69475,92915,80203,116134,73949,81140,91697,58035,60574,47716,45789,30081,28345,4113,52414,40171
PubChem_153621368,286417,631756,509172,258457,224478,377275,200639,236447,307272,262039,267885,282300,202992,206203,197283,786919,371877,261936
Fenothiocarb sulfoxide,0,0,0,8884,0,10496,128685,107380,27976,83864,128962,110005,276167,309479,241586,11186,13278,0
Verbasoside,4614,0,1131,25259,50646,43166,67913,43534,46736,121224,89937,77717,248901,308329,210940,0,4365,8418
"(4-chlorophenyl)-[4-[[(2,4-dichlorophenyl)thio]methyl]-4-hydroxy-1-piperidinyl]methanone",9579,90859,158773,160580,88032,140990,399331,356341,128532,414796,394598,416576,398464,288054,342191,111196,69039,53042
"PE(18:1(9Z)/18:4(6Z,9Z,12Z,15Z))",313669,416487,534475,492028,279029,543923,185837,235222,267598,189155,143077,161475,239189,288046,150914,258868,369468,499876
5-(4-carboxybutylperoxy)pentanoic acid,56041,197433,156575,209117,249578,207732,59439,159054,289524,302985,50140,148055,150541,102210,89798,107786,155457,136330
CNP0429625,4629,5859,14507,901,9929,20569,524,7123,1213,12259,35153,23329,4334,7895,7321,29852,13155,21428
PubChem_20467693.1,692887,792690,813653,605847,417390,452637,264787,292993,304704,307020,320724,276969,276729,260351,256821,781844,812817,645262
N-Benzoylaspartic acid.11,58182,67625,112985,313745,378340,363774,221238,310544,220898,276419,391112,351504,443235,437802,392358,77526,124152,151192
Tetrahydrogeranylgeranyl diphosphate,2429,889,1223,0,4145,6773,4448,16681,0,3387,2555,1277,6258,6525,1768,12888,10373,5475
N-Benzoylaspartic acid.12,58065,56634,113327,349588,367476,373415,237271,306560,224837,260863,368259,346892,453844,427442,379323,85860,109905,158110
Galactaric acid,182028,134101,159973,19177,120989,58159,102738,151800,53159,99753,107719,24111,126828,119950,51436,179769,151177,109470
Penicimutanin A,185034,79575,94864,102528,81824,157022,292528,323138,277120,386186,342396,302501,345799,191128,182898,45298,37365,31808
"1-(2,3-Dibromopropyl)-3,5-diallyl-1,3,5-Triazine-2,4,6(1H,3H,5H)-trione",2080737,427178,259528,550438,1777802,926509,2156282,2830442,616225,1024151,1755411,1524254,981352,2496185,1493485,193773,519524,1225426
PubChem_80580140.2,166899,284214,261842,150229,113609,160607,80743,82758,104312,92758,101347,102875,62979,53952,60227,293375,187966,156787
2-[[1-[(3-bromophenyl)methyl]-3-indolyl]sulfonyl]-N-(5-methyl-3-isoxazolyl)acetamide,65855,260149,160981,117365,88748,134094,122864,124117,92883,191357,112836,141951,347442,377880,209025,308708,160317,141413
2-[[1-[(3-bromophenyl)methyl]-3-indolyl]sulfonyl]-N-(5-methyl-3-isoxazolyl)acetamide.1,65855,260149,160981,117365,88748,134094,122864,124117,92883,191357,156678,141951,347442,377880,209025,308708,160317,141413
N-Benzoylaspartic acid.13,50772,65870,126845,314894,369581,356650,217318,306596,232730,250908,375834,343747,480299,426861,388463,77526,133751,143408
PubChem_152762001,290951,411248,382063,190182,170331,176586,176824,181651,176770,193847,183728,184009,185203,176997,186781,515764,365520,264585
UNPD149521,126318,125956,195233,25144,70987,39420,52428,30562,48324,19902,15427,27789,5048,0,16401,105109,86051,82956
5-(4-carboxybutylperoxy)pentanoic acid.1,65984,64253,41180,46574,38557,17169,27500,38087,44806,76068,64822,33972,48786,50237,19278,238342,246227,83664
UNPD178861,95638,157404,219952,116532,144427,102376,44387,93438,79891,39238,97185,60930,39608,90554,29403,66947,36202,36944
6''-O-Acetyldaidzin,0,0,0,10141,0,8518,24018,15361,4440,37400,25890,14454,201451,268493,57179,52538,32904,32600
"1-[3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-4-hydroxypyridin-2-one",44212,6859,1137,27261,37268,26550,32781,45362,7633,61893,46104,48988,67814,98938,46776,41348,98937,128726
"hydroxymethyl 3-[(5-{[6-(ethoxycarbonyl)-3,4-dihydroxy-5-({3,4,5-trihydroxy-6-[(hydroxymethoxy)carbonyl]oxan-2-yl}oxy)oxan-2-yl]oxy}-3,4-dihydroxy-6-[(hydroxymethoxy)carbonyl]oxan-2-yl)oxy]-4,5,6-trihydroxyoxane-2-carboxylate",165228,35853,110813,132567,110909,93129,1140562,665000,171536,350571,733394,639600,537854,459959,1223595,80916,51837,116675
PubChem_74763891.1,71928,91268,149720,100903,151425,133209,306249,391379,230032,299553,266963,228265,0,101765,113664,72669,68281,98498
"PA(18:0/18:2(9Z,12Z)).6",335023,592754,603712,497497,167227,231251,482623,508801,345401,356718,623464,619952,682939,1073040,471601,289521,613970,271402
"4-chloro-N-({3,4-dihydroxy-5-[2-(4-methylpiperidin-1-yl)-2-oxoethyl]oxolan-2-yl}methyl)benzene-1-sulfonamide",207881,141592,413974,73493,110583,139931,84148,140670,115037,63695,129477,136925,193137,217862,149467,367235,201967,200432
"5-(acetyloxy)-1,7-bis(4-hydroxy-3-methoxyphenyl)heptan-3-yl 2-[3-(hydroxymethyl)phenyl]heptanoate.1",114030,42162,18406,58772,40423,68216,141394,212201,120376,249797,333077,485868,157562,141303,79093,7652,53538,104927
"PC(o-22:3(10Z,13Z,16Z)/22:3(10Z,13Z,16Z)).2",53344,72273,171874,70398,74582,153152,182333,222318,216380,206749,190065,229587,11826,72196,130116,41865,60687,62280
PubChem_59831396,3594,0,6520,11901,4786,6155,40754,35349,25415,34224,27850,28802,96743,107539,67027,4243,5727,6220
"1,1-diiodoethane",103170,13402,20518,167200,137492,136935,158064,171402,189946,201429,192652,184469,194515,170267,160621,2559,89358,131148
"PA(18:0/18:2(9Z,12Z)).7",402407,394574,491869,415228,198218,211847,531939,553045,646338,808389,619186,621075,514281,550448,503199,158612,364098,250789
"benzene-1,2,4-triol.2",527621,275387,408478,689584,985845,1075270,728096,828058,621051,855098,957076,1012505,1280695,1431838,1231090,151337,374081,508725
"N-(2-Morpholin-4-Yl-1-Morpholin-4-Ylmethyl-Ethyl)-3-Nitro-5-(3,4,5-Trihydroxy-6-Hydroxymethyl-Tetrahydro-Pyran-2-Yloxy)-Benzamide",0,0,2476,2722,0,2574,9225,9490,6182,17176,15222,4137,96323,125364,42746,0,7505,6709
"PC(18:4(6Z,9Z,12Z,15Z)/15:0)",2268674,3012441,3537832,3154907,1666560,2187265,996133,1548899,1293752,1470511,689942,910939,1661419,1650742,1165775,1552218,2326066,3045053
CNP0444877,518177,709133,474894,417565,299868,383123,193402,204010,194085,164076,214599,162698,151754,234502,119926,552068,575620,497958
UNPD199036,52421,291178,226775,82177,54737,95341,68955,69085,68402,93566,99322,96239,60766,67462,53715,3007,135812,59455
PubChem_85776225.4,224178,203766,183708,175620,144544,144902,79213,70291,91203,73653,73902,80552,53800,43301,39590,173451,212065,177201
"PG(14:1(9Z)/20:4(5Z,8Z,11Z,14Z))",35694,53411,27955,57833,41266,50937,159884,139462,85803,159780,261617,255477,267642,210196,261055,31079,107417,65024
PubChem_134860106.6,544742,492753,572050,519012,374862,351358,178910,191473,235863,176477,209745,161206,167025,140120,143827,591077,542884,409028
PubChem_57154239,364314,818347,799904,352696,329132,443073,236732,262357,330640,268686,303872,302963,229811,218392,234325,914244,468599,363840
UNPD177959,54403,50951,136285,67978,141376,146949,27290,65237,109866,46745,48779,55873,90875,114315,32253,31803,49260,87082
"PE(18:3(6Z,9Z,12Z)/18:2(9Z,12Z))",383094,455348,484982,734250,346358,601283,232931,287253,347200,288030,202468,232331,393207,349613,212869,311232,488975,562938
PubChem_89732284,307415,402787,303007,745265,569240,475943,290834,661428,555680,278362,511150,604800,362631,289788,393730,400200,403524,207852
"N-{5-[(1-carbamoyl-2-methylpropyl)carbamoyl]-2,3,5-trihydroxycyclohexyl}-3-chloro-4-fluorobenzamide",0,0,0,16719,0,0,145003,80789,19946,197461,32512,59693,478904,425387,300201,16757,14273,12554
PubChem_72227490.1,176985,333330,276881,272502,170490,316255,481286,476343,330566,571404,469007,494688,250028,234335,225803,405358,262700,217848
