,Challenge,True Inchikey2D,SIRIUS Ranking,MSFinder Ranking,DeepMASS Ranking,DeepMASS Ranking (Public),MetFrag Ranking,CFM-ID Ranking,SMILES
105,challenge_160,GYLUFQJZYAJQDI,3.0,inf,4.0,3.0,45.0,11.0,O=C1C(C2=CC=C(O)C=C2)=COC3=CC(O)=C(O)C=C13
106,challenge_161,MKMCJLMBVKHUMS,11.0,inf,1.0,10.0,17.0,4.0,O=C1OC2=CC(OC)=CC=C2N1
107,challenge_162,FINHMKGKINIASC,3.0,5.0,36.0,36.0,17.0,5.0,CC1=C(C)N=C(C)C(C)=N1
108,challenge_163,CIEYTVIYYGTCCI,4.0,inf,2.0,15.0,1.0,82.0,O=C(C(CC=C(C)C)=C1O)C2=CC=CC=C2C1=O
109,challenge_164,WVXIMWMLKSCVTD,22.0,inf,34.0,26.0,29.0,4.0,C[C@]12[C@](CC=C3[C@@]2([H])CC[C@H](O[C@]4([H])O[C@@H]([C@@H](O)[C@H](O)[C@H]4O)CO)C3(C)C)([H])[C@]5([C@@](C)([C@]([C@H](C)CC[C@H](C(C)(O)C)O[C@@H]6O[C@@H]([C@@H](O)[C@H](O)[C@H]6O)CO)([H])CC5)C[C@H]1O)C
110,challenge_165,QXKHYNVANLEOEG,2.0,7.0,1.0,1.0,3.0,3.0,O=C1OC(C(C=C1)=C2)=C(OC)C3=C2C=CO3
111,challenge_166,SSXJHQZOHUYEGD,3.0,inf,1.0,1.0,30.0,9.0,O=C1C(OC)=C(C2=CC=C(OC)C(OC)=C2)OC3=C(OC)C(OC)=C(OC)C(OC)=C13
112,challenge_167,RAYQKHLZHPFYEJ,1.0,inf,1.0,1.0,62.0,24.0,O=C1C=CC2=CC(OC)=C(OC)C(OC)=C2O1
113,challenge_168,WIONIXOBNMDJFJ,inf,2.0,2.0,2.0,4.0,9.0,COC1=C2C(OC=C2)=NC3=CC=CC=C13
114,challenge_170,NLVBYGTTYRFJKH,2.0,2.0,2.0,2.0,4.0,1.0,O[C@H]1[C@H](O)[C@@H](O)[C@H](OC2=CC(O)=C(C(C(O[C@H]3[C@H](O)[C@H](O[C@@]4([H])[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O4)[C@@H](O)[C@H](C)O3)=C(C5=CC=C(OC)C=C5)O6)=O)C6=C2C/C=C(C)/C)O[C@@H]1CO
115,challenge_174,GPLOTACQBREROW,1.0,3.0,1.0,2.0,1.0,2.0,O=C(O[C@H]1[C@@H](C2=C(C=C([C@@H]3[C@H](O)CC4=C(O)C=C(O)C=C4O3)C=C(O)C5=O)C5=C(O)C(O)=C2)OC6=CC(O)=CC(O)=C6C1)C7=CC(O)=C(O)C(O)=C7
116,challenge_175,KRCBALDMBZQTIQ,1.0,4.0,1.0,1.0,5.0,1.0,OC1=C(C(C2=C3)=O)C(OC2=CC=C3O)=CC(O)=C1[C@@H]([C@@H]([C@H]4O)O)O[C@@H]([C@H]4O)CO
117,challenge_176,JPYYWXPAHJBKJX,1.0,10.0,1.0,4.0,7.0,3.0,CC(O[C@@]1(C(/C(C)=C\[C@@H](C2(C)C)[C@@H]2CCC3=C)=O)[C@]([C@H]3OC(C)=O)([H])[C@@H](OC(C4=CC=CC=C4)=O)[C@@H](C)C1)=O
118,challenge_178,LFKQVVDFNHDYNK,1.0,inf,1.0,5.0,7.0,9.0,O[C@H]([C@@H](O)[C@@H]1O)[C@@H](O[C@@H]1COC(/C=C/C2=CC(O)=C(O)C=C2)=O)OCCC3=CC(O)=C(O)C=C3
119,challenge_179,OVMFOVNOXASTPA,1.0,inf,4.0,4.0,49.0,19.0,O=C1C=C(C2=CC=C(O)C=C2)OC3=C([C@H]4[C@@H]([C@H]([C@@H]([C@@H](CO)O4)O)O)O)C(O)=C([C@H]5[C@@H]([C@H]([C@H](CO5)O)O)O)C(O)=C13
120,challenge_180,RERVSJVGWKIGTJ,21.0,inf,32.0,8.0,19.0,38.0,CC1(C)[C@@H](O)CC[C@]2(C)C3=C([C@@]4([C@@H](O)C[C@@H]([C@]4(CC3=O)C)[C@H](C)CC(C[C@@H](C)C(O)=O)=O)C)[C@@H](O)C[C@@]12[H]
121,challenge_181,HAYLVXFWJCKKDW,77.0,inf,78.0,84.0,9.0,1.0,O=C1C=C(C2=CC=CC=C2)OC3=CC(O[C@H]4[C@@H]([C@H]([C@@H]([C@@H](CO[C@H]5[C@@H]([C@H]([C@@H]([C@@H](CO)O5)O)O)O)O4)O)O)O)=C(O)C(O)=C13
122,challenge_182,YVPXVXANRNDGTA,2.0,7.0,1.0,1.0,2.0,7.0,[H][C@]12N(C)CCC(C1=C3)=CC(OC)=C3OC4=C5C(OCO5)=CC6=C4[C@](N(C)CC6)([H])CC(C=C7)=CC=C7OC8=C(OC)C=CC(C2)=C8
123,challenge_184,OHDJGUWKOIBIKY,3.0,8.0,1.0,1.0,2.0,8.0,C[C@@]([C@@H]([C@@H](OC(/C(C)=C/C)=O)[C@]1([H])[C@]23C)OC(C)=O)([C@@H]4C(C)=O)[C@]5(CC4)[C@@]1(CC[C@@]2([H])C[C@@H](O[C@@](O[C@H](C)[C@H]6O[C@@](O[C@H](C)[C@@H](O)[C@H]7OC)([H])[C@@H]7O)([H])C[C@H]6OC)CC3)O5
124,challenge_185,GEZHEQNLKAOMCA,1.0,2.0,1.0,1.0,6.0,4.0,O=C(O)/C(C)=C\C[C@@]1(C2=O)OC(C)(C)[C@@](C[C@@]2([H])C=C34)([H])[C@]31OC5=C(C(O)=C(C=C[C@](CC/C=C(C)/C)(C)O6)C6=C5C/C=C(C)\C)C4=O
125,challenge_188,OVMSOCFBDVBLFW,1.0,inf,1.0,2.0,4.0,3.0,O=C1[C@H](OC(C)=O)C(C2(C)C)=C(C)[C@@H](O)C[C@@]2(O)[C@@H](OC(C3=CC=CC=C3)=O)[C@@]4([H])[C@@]1(C)[C@@H](O)C[C@@]5([H])OC[C@]54OC(C)=O
126,challenge_190,HFGSQOYIOKBQOW,2.0,inf,1.0,1.0,108.0,75.0,O[C@H]1[C@H](O)C(C)(C)[C@@](CC[C@]2(C)[C@]3([H])CC=C4[C@@]2(C)CC[C@]5(C(O)=O)[C@@]4([H])[C@@H](C)[C@H](C)CC5)([H])[C@]3(C)C1
127,challenge_192,RPMNUQRUHXIGHK,inf,inf,3.0,4.0,10.0,2.0,O=C(C=C(C1=CC=C(O)C=C1)OC2=CC(O[C@H](O[C@H](CO)[C@@H](O)[C@@H]3O)[C@@H]3O[C@@](O[C@@H](C)[C@H](O)[C@H]4O)([H])[C@@H]4O)=C5)C2=C5O
128,challenge_193,BVMOMQJYQYBMKL,2.0,inf,4.0,2.0,8.0,1.0,O=C1C=CC2=C(OC[C@H](O)C(C)=C)C3=C(OC=C3)C=C2O1
129,challenge_194,BATBOVZTQBLKIL,104.0,inf,132.0,124.0,103.0,154.0,O=C1C2=C(O)C=CC(O)=C2C(C=C1[C@@H](C/C=C(C)/C)OC(/C=C(C)/C)=O)=O
130,challenge_195,HPVWWHYNAAZHQR,6.0,2.0,1.0,4.0,2.0,15.0,OCC1([C@@]2([H])[C@@]([C@]3([H])[C@](C)([C@]4(C([C@@]5([H])[C@](C(O)=O)(CCC(C)(C)C5)[C@H](O)C4)=CC3)C)CC2)(C[C@H](O)[C@@H]1O[C@]6([H])O[C@@H]([C@@H](O)[C@H](O)[C@H]6O)CO)C)CO
131,challenge_196,LLZGAVAIPZROOJ,15.0,3.0,19.0,19.0,20.0,15.0,C[C@]12[C@](CC=C3[C@@]2([H])CC[C@H](O[C@]4([H])O[C@@H]([C@@H](O)[C@H](O)[C@H]4O)CO)C3(C)C)([H])[C@]5([C@@](C)([C@]([C@H](C)CC[C@@H](O)C(C)(O)C)([H])CC5)C[C@H]1O)C
132,challenge_197,JBFOLLJCGUCDQP,1.0,5.0,2.0,2.0,9.0,2.0,O[C@H]([C@H]([C@@H]([C@@H](C(O)=O)O1)O)O)[C@@H]1OC2=CC(O)=C3C(C=C(C4=CC=C(O)C=C4)OC3=C2)=O
133,challenge_198,OBBCRPUNCUPUOS,1.0,inf,3.0,1.0,33.0,96.0,O=C1C(C2=CC=C(O)C=C2)=COC3=CC(O)=C(OC)C(O)=C13
134,challenge_201,DATAGRPVKZEWHA,1.0,10.0,3.0,1.0,2.0,7.0,OC([C@@H](N)CCC(NCC)=O)=O
135,challenge_204,XMOCLSLCDHWDHP,4.0,inf,37.0,36.0,33.0,11.0,O[C@@H]1[C@@H](C2=CC(O)=C(O)C(O)=C2)OC3=CC(O)=CC(O)=C3C1
136,challenge_210,RJFAYQIBOAGBLC,inf,inf,1.0,1.0,1.0,1.0,O=C(O)[C@@H](N)CC[Se]C
137,challenge_211,WZNJWVWKTVETCG,1.0,3.0,2.0,2.0,3.0,5.0,OC([C@@H](N)CN1C=CC(C(O)=C1)=O)=O
138,challenge_212,QZPQTZZNNJUOLS,2.0,inf,1.0,93.0,21.0,4.0,O=C(C1=C2OC(C)(C)CC1)C(C3=C2C=CC=C3)=O
139,challenge_215,XCUCMLUTCAKSOZ,11.0,3.0,6.0,6.0,3.0,1.0,OC1=CC=C(C[C@H]2N(C)CCC3=C2C=C(OC)C(OC)=C3)C=C1OC4=CC5=C(C=C4OC)CCN(C)[C@@H]5CC6=CC=C(O)C=C6
140,challenge_222,DQFBYFPFKXHELB,1.0,3.0,1.0,1.0,6.0,6.0,O=C(C1=CC=CC=C1)/C=C/C2=CC=CC=C2
141,challenge_223,IKIIZLYTISPENI,12.0,inf,7.0,7.0,10.0,13.0,O[C@H]([C@H]([C@@H]([C@@H](C(O)=O)O1)O)O)[C@@H]1OC2=C(O)C(O)=C3C(C=C(C4=CC=CC=C4)OC3=C2)=O
142,challenge_224,ZFAHNWWNDFHPOH,1.0,3.0,1.0,3.0,1.0,6.0,N[C@@H](CSCC=C)C(O)=O
143,challenge_227,AIGAZQPHXLWMOJ,1.0,5.0,1.0,2.0,3.0,1.0,O=C(C1=C2C=CC3=C1C=CC=C3C)C(C4=C2OC=C4C)=O
144,challenge_229,YEFOAORQXAOVJQ,1.0,inf,1.0,1.0,9.0,19.0,O[C@]1(C)[C@@H](C)CC2=CC(OC)=C(OC)C(OC)=C2C3=C(OC)C(OC)=C(OC)C=C3C1
145,challenge_230,ANOXEUSGZWSCQL,7.0,inf,4.0,3.0,22.0,9.0,COC1=C(OC2=CC=C(C[C@](N(CC3)C)([H])C4=C3C=C5OC)C=C2)C([C@@](N6C)([H])CC7=CC=C(OC4=C5OC)C=C7)=C(CC6)C=C1OC
146,challenge_232,APTUSGMALOMQQL,12.0,inf,1.0,6.0,2.0,4.0,CC(C1)=C(C(C)=O)C(C2=C(C3=C(O)C=C4OC)C4=C5C(OC)=CC(O)=C6C5=C2C1=C(OC)C6=O)=C(OC)C3=O
147,challenge_233,CUCUKLJLRRAKFN,2.0,9.0,28.0,1.0,5.0,8.0,O=C(C1(C)C(OC2=C(C(C)=O)C(O)=C(C)C(O)=C12)=C3)C(C(C)=O)C3=O
148,challenge_235,WNGSUWLDMZFYNZ,1.0,1.0,1.0,1.0,2.0,2.0,O=C(OCCCCNC(N)=N)C1=CC(OC)=C(O)C(OC)=C1
149,challenge_236,LQGUBLBATBMXHT,49.0,inf,36.0,45.0,54.0,43.0,O=C1C2=C(C=CC=C2O)C(C3=CC(C)=CC(O)=C13)=O
150,challenge_242,IGWDEVSBEKYORK,inf,inf,2.0,2.0,8.0,1.0,O=C1C=CC2=C(OC/C=C(C)/C)C3=C(OC=C3)C=C2O1
151,challenge_244,SWZMSZQQJRKFBP,3.0,2.0,1.0,1.0,1.0,1.0,O=C(O1)C=C2[C@@]13[C@](CCCC4)([H])N4[C@](C3)([H])C=C2
152,challenge_245,UCAFJBSQKXVPDX,7.0,4.0,1.0,2.0,13.0,12.0,O=C1N2C(C3=CC(OCO4)=C4C=C3CC2)=CC5=CC=C6C(OCO6)=C15
153,challenge_246,GIZKAXHWLRYMLE,inf,inf,inf,inf,inf,inf,C[N+]1=CC2=C3C(OCO3)=CC=C2C(C=CC4=C5)=C1C4=CC6=C5OCO6.[Cl-]
154,challenge_248,IXVMHGVQKLDRKH,3.0,1.0,4.0,4.0,8.0,11.0,O[C@H]1[C@@H](O)C[C@@](C(OC[C@]2([H])[C@]3([H])CC[C@@]4(C)[C@]2(CC[C@]4([H])[C@H](C)[C@@H](O)[C@H](O)[C@H](C(C)C)C)[H])=O)([H])[C@]3(C)C1
155,challenge_249,PLAPMLGJVGLZOV,1.0,inf,1.0,2.0,91.0,22.0,O[C@@H]1[C@@H](O)[C@H](C2=C(O)C=C(O)C3=C2OC(C4=CC=C(O)C(O)=C4)=CC3=O)O[C@H](CO)[C@H]1O
