,Challenge,True Inchikey2D,SIRIUS Ranking,MSFinder Ranking,DeepMASS Ranking,DeepMASS Ranking (Public),MetFrag Ranking,CFM-ID Ranking,SMILES
128,challenge_128,YWRZZQBSAZIBEQ,inf,,1.0,2.0,3.0,2.0,CC=C(C)C(=O)OC1C(OC(C(C1OC(=O)C(=CC)C)O)OC2C(C3(C(CC2(C)C)C4=CCC5C6(CCC(C(C6CCC5(C4(CC3O)C)C)(C)CO)OC7C(C(C(C(O7)C(=O)O)O)O)OC8C(C(C(C(O8)CO)O)O)O)C)CO)OC(=O)C)C
129,challenge_129,AYRRNFHDJUXLEQ,1.0,5.0,1.0,1.0,1.0,1.0,C1=CC=C(C=C1)OP(=O)(N)N
130,challenge_130,NLEBIOOXCVAHBD,1.0,1.0,1.0,1.0,1.0,1.0,CCCCCCCCCCCCOC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)O)O)O)O)O
131,challenge_131,LAMRTXHVEXWMOH,1.0,1.0,2.0,2.0,1.0,1.0,CC(=CCCC(C)(C=C)OC1C(C(C(C(O1)CO)O)O)OC2C(C(C(C(O2)CO)O)O)O)CCC=C(C)CC(C=C(C)C(=O)OC)O
132,challenge_132,NBEYAEFZGDUVGW,inf,2.0,53.0,51.0,1.0,85.0,CCCC(C(C=CC(=O)OC1CC2C(C2(C)C)C=C(C(=O)C3(CC(C(C3C=C1C)O)C)OC(=O)C)C)O)O
133,challenge_133,JDYWLRRIZNBKMP,7.0,5.0,2.0,5.0,1.0,1.0,CC(CC(=O)OC)(CC(=O)OCC1C(C(C(C(O1)OC2=C(OC3=C(C2=O)C(=C(C(=C3OC)OC)OC)OC)C4=CC(=C(C=C4)OC)OC)O)O)O)O
134,challenge_134,RBTWPFBRVJRSRZ,9.0,7.0,18.0,42.0,4.0,4.0,C=CC1C2CCOC(=O)C2=COC1OC3C(C(C(C(O3)CO)O)O)OC(=O)C4=CC(=CC=C4)O
135,challenge_135,ODDNJYHUVXKJBI,1.0,inf,27.0,37.0,37.0,86.0,CC12CCC(CC1C(CCC2O)(C)O)C(C)(C)O
136,challenge_136,ZQCSOQVURYSVKL,inf,inf,inf,inf,inf,inf,CC12CCC(C3C1C(C(C3C2=C)O)O)C(C)(C)O
137,challenge_137,CPTNKRLUDCGSPQ,2.0,1.0,1.0,1.0,1.0,1.0,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(C(=C(C=C3)O)C)CC=C(C)C(=O)O)O)O)O)O)O)O
138,challenge_138,DIADZLCOROOTGN,15.0,inf,9.0,5.0,1.0,28.0,CC(CC1=CC(=C(C=C1)O)OC)C(C)CC2=CC3=C(C=C2O)OCO3
139,challenge_139,JDJWBXPQIRDCOI,2.0,3.0,1.0,1.0,6.0,2.0,C(CCC(=O)O)CC=CCC(C(CCCC(=O)O)O)O
140,challenge_140,DYUWTXWIYMHBQS,1.0,7.0,8.0,4.0,1.0,8.0,C=CCNCC=C
141,challenge_141,VEEGZPWAAPPXRB,6.0,3.0,6.0,9.0,2.0,1.0,C1=CC=C2C(=C1)C(=CC3=CN=CN3)C(=O)N2
142,challenge_142,DPEYAJFUJJMJNO,inf,inf,inf,inf,inf,inf,CC1C(C(C(C(O1)OC2C(C(COC2OC3CCC4(C(C3(C)C)CCC5(C4CC=C6C5(CCC78C6C(C(CC7)(OC8=O)C)(C)O)C)C)C)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)O
143,challenge_143,JUQZBNSNCFPQEN,inf,inf,14.0,5.0,43.0,28.0,CC1(C2CCC3(C(C2(CCC1OC4C(C(C(CO4)O)O)O)C)CC=C5C3(CCC6(C5CC(CC6)(C)CO)C(=O)OC7C(C(C(C(O7)CO)O)O)O)C)C)C
144,challenge_144,UTHVFIKQCUKKQW,2.0,3.0,5.0,4.0,5.0,2.0,C1C(C=CC(=CC#N)C1OC2C(C(C(C(O2)CO)O)O)O)O
145,challenge_145,VXYKGOAXVHSLDD,1.0,7.0,1.0,7.0,14.0,57.0,COC1=C(C=CC(=C1)CC2COC(=O)C2(CC3=CC(=C(C=C3)OC4C(C(C(C(O4)CO)O)O)O)OC)O)O
146,challenge_146,BNKQCXTYXHSKGJ,65.0,inf,65.0,145.0,145.0,155.0,CC=C(C)C(=O)OC1CC(C2(CC3=C(C(=O)OC3(CC2C1)O)C)C)C
147,challenge_147,QEXBXSJDNHRVSH,53.0,inf,289.0,316.0,42.0,226.0,CC1=C(CC2(C13CCC(C3CC2)(CO)O)C)C(=O)O
148,challenge_148,KMSCXNAPFWQQKD,1.0,1.0,1.0,1.0,2.0,2.0,CC(C)CCCCCCC(CC(=O)NC(CC(=O)O)C(=O)N)O
149,challenge_149,PCWPSOCJBMEHGK,1.0,inf,1.0,2.0,9.0,8.0,COC1=C(C=CC(=C1)CC(CO)C(CC2=CC(=C(C=C2)OC3C(C(C(C(O3)CO)O)O)O)OC)CO)O
150,challenge_150,FLVBOVQKMCPBFE,2.0,1.0,1.0,1.0,1.0,1.0,CCCCCCCCCCCC(=O)OC(C(C)C)C(C(=O)O)OC(=O)C(C)C
151,challenge_151,MIDXCONKKJTLDX,7.0,inf,8.0,36.0,39.0,11.0,CC1CC(C(=O)C1=O)C
152,challenge_152,QEALYLRSRQDCRA,1.0,9.0,1.0,2.0,5.0,1.0,CCCCCCCCCCCCCC(=O)N
153,challenge_153,LZOJNMQMOSTOHX,3.0,1.0,4.0,4.0,2.0,1.0,CC(C)CCCCCCCC(=O)NC(CC(=O)O)C(=O)N
154,challenge_154,OWZYYRSRGCPFKQ,51.0,inf,43.0,35.0,4.0,34.0,CC1C(C(C(C(O1)OC2C(C(COC2OC3CCC4(C(C3(C)C)CCC5(C4CC=C6C5(CCC(C6C(=O)C)(CCC(C)O)C(=O)O)C)C)C)O)OC7C(C(C(C(O7)CO)O)O)O)O)O)O
155,challenge_155,WCUYANMOZSMFCP,1.0,5.0,1.0,1.0,1.0,1.0,CC1C(C(C(C(O1)OC2=C(OC3=C(C2=O)C(=CC(=C3CC=C(C)C)OC4C(C(C(C(O4)CO)O)O)O)O)C5=CC=C(C=C5)O)OC6C(C(C(C(O6)CO)O)O)O)O)O
156,challenge_156,NMDFCFOQBAHNPV,21.0,inf,18.0,35.0,3.0,46.0,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)CO)OC6C(C(C(CO6)OC7C(C(C(C(O7)CO)O)O)O)O)O)C)C)C2C1)C)C(=O)O)C(=O)OC
157,challenge_157,JIKPDGHCTOSDJA,inf,inf,48.0,63.0,127.0,107.0,CC1CCC2(C(C1(C)CCC(=CC(=O)O)C)CC(=C2C)C=O)C
158,challenge_158,WAVKNSMRCWYDDL,11.0,6.0,1.0,2.0,1.0,9.0,CCCCCC1=CC2=CC(=CC(=C2C(=O)O1)OC3=C(C(=C(C=C3O)OC)C(=O)O)CCCCC)O
159,challenge_159,AKEQVUOZQNGJQC,inf,inf,inf,inf,inf,inf,CC(=O)OCC1C(COC1C2=CC(=C(C=C2)O)OC)C(C3=CC(=C(C=C3)OC4C(C(C(C(O4)CO)O)O)O)OC)O
160,challenge_160,RQYZKRVLMHQSMS,43.0,inf,8.0,49.0,23.0,60.0,CC1COC2(C1(C(=O)C3=C(C2=O)C45CCCC(C4C(C3OC)OC5=O)(C)C)O)O
161,challenge_161,VSTYNZNDJYVPKL,6.0,9.0,9.0,14.0,7.0,19.0,COC(=O)C1=C(C(=CC=C1)OC2C(C(C(C(O2)CO)O)O)O)O
162,challenge_162,SGNCOKUHMXLGAH,1.0,1.0,9.0,6.0,1.0,1.0,COC(=O)C1=NC(=CC=C1)Br
163,challenge_163,NVZFZMCNALTPBY,1.0,1.0,1.0,1.0,1.0,3.0,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)F
164,challenge_164,UDSAIICHUKSCKT,1.0,1.0,1.0,1.0,1.0,1.0,C1=CC=C2C(=C1)C(OS2(=O)=O)(C3=CC(=C(C(=C3)Br)O)Br)C4=CC(=C(C(=C4)Br)O)Br
165,challenge_165,NNIRVDLUHWUBSX,6.0,,6.0,5.0,6.0,3.0,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OCC3C(C(C(C(O3)OC(=O)C45CCC(CC4C6=CCC7C8(CCC(C(C8CCC7(C6(CC5)C)C)(C)C)OC9C(C(C(CO9)O)O)OC1C(C(C(C(O1)C)O)O)O)C)(C)CO)O)O)O)COC(=O)C)O)O)O
166,challenge_166,NZIQEPLIKSMSRT,113.0,inf,74.0,34.0,107.0,33.0,CC1CCC2(C(C1(C)CCC3=CC(=O)OC3O)CC(=C2C)C=O)C
167,challenge_167,ULSOTXJNUTYKRK,5.0,,7.0,2.0,25.0,11.0,CC1C(C(C(C(O1)OC2C(C(COC2OC3CCC4(C(C3(C)C)CCC5(C4CC=C6C5(CCC7(C6CC(CC7)(C)C)C(=O)OC8C(C(C(C(O8)CO)O)O)O)C)C)C)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)O
168,challenge_168,ABAIOHPURNHXKB,inf,inf,inf,inf,inf,inf,CC1C(C(C(C(O1)OC2=C(OC3=C(C2=O)C(=CC(=C3CC=C(C)C)OC4C(C(C(C(O4)CO)O)O)O)O)C5=CC=C(C=C5)O)O)O)OC(=O)C
169,challenge_169,JSWXKFCFVRCREF,inf,inf,inf,inf,inf,inf,CC1(C2C1C=C(CCC(=O)C(=C)CC2)C(=O)O)C
170,challenge_170,PRBUAZIWXABBBW,inf,8.0,2.0,2.0,9.0,4.0,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C(=C(C(=C3O2)OC)O)OC)O)OC4C(C(C(C(O4)CO)O)O)O)O
171,challenge_171,VBTZAIPQSNXYCM,inf,inf,inf,inf,inf,inf,CCC(C)C1C(=O)C(C(=O)N1)(C2=CC3=C(C(C2=O)(C)CC)OC(=C(C3=O)C)C)O
172,challenge_172,IESDYJUGZCFEQG,inf,,2.0,2.0,inf,inf,CCCCCC(CC(CC(=O)OC(CCCCC)CC(CC(=O)OC(CCCCC)CC(CC(=O)OC)OC1C(C(C(C(O1)CO)O)O)O)OC2C(C(C(C(O2)CO)O)O)O)O)OC3C(C(C(C(O3)CO)O)O)O
173,challenge_173,OQWLWGHVEYZMLN,inf,1.0,4.0,4.0,9.0,2.0,CCC=CCC1(CCC=CC1C(=O)O)OC2C(C(C(C(O2)CO)O)O)O
174,challenge_174,VQMRBUNQTLAATK,inf,,inf,inf,inf,inf,CC1(C2CCC3(C(C2(CCC1OC4C(C(C(CO4)OC5C(C(C(C(O5)CO)O)O)O)O)OC6C(C(C(C(O6)CO)O)O)O)C)CC=C7C3(CCC8(C7CC(CC8)(C)C(=O)O)C(=O)OC9C(C(C(C(O9)CO)O)O)O)C)C)C
175,challenge_175,PPJYSSNKSXAVDB,inf,1.0,1.0,1.0,1.0,1.0,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(=O)O
176,challenge_176,AVKNGPAMCBSNSO,1.0,6.0,1.0,2.0,2.0,2.0,C1CCC(CC1)CN
177,challenge_177,UVZTZBRGZXIBLZ,1.0,inf,1.0,1.0,2.0,1.0,C1=CC(=O)N(C1=O)CCCCCCCCCCC(=O)O
178,challenge_178,FVAIJXKCYZKCGF,inf,inf,21.0,18.0,23.0,18.0,CC1(C2CCC(C1C(=O)OC)O2)C(=O)OC3C(C(C(C(O3)CO)O)O)O
179,challenge_179,CMXKPYSXVVBBDY,2.0,1.0,6.0,5.0,4.0,3.0,CCOC1C(C(C(CO1)O)O)OC2C(C(C(C(O2)CO)O)O)O
180,challenge_180,IVDMSWPOHFCIHO,inf,inf,inf,inf,inf,inf,COC1=C(C=CC(=C1)C=CC(=O)OC)OC2=C(C=C(C=C2)C(C(CO)O)O)OC
181,challenge_181,PMALFGMVFUCPMK,3.0,inf,2.0,2.0,15.0,2.0,COC1=C(C=CC(=C1)C(C2COC(C2CO)C3=CC(=C(C=C3)O)O)O)O
182,challenge_182,XYZWRQXZTNPKPD,inf,inf,inf,inf,inf,inf,CC(C)C1=C(C=C2C(=C1)C(=O)CC3C2(CCCC3(C)C)C(=O)O)O
183,challenge_183,ZFUJCNJIGDBFEP,inf,6.0,15.0,113.0,57.0,25.0,CC1=CC(C(CC1=O)C(C)C)O
184,challenge_184,DAOMSLPFWWIXQB,inf,inf,inf,inf,inf,inf,CC1CC=CC2C(C(=C(C3C2(C(=O)C4C(O4)C(C1)O)C(=O)NC3CC5=CNC6=CC=CC=C65)C)C)O
185,challenge_185,ODDNJYHUVXKJBI,inf,inf,22.0,15.0,68.0,39.0,CC12CCC(CC1C(CCC2O)(C)O)C(C)(C)O
186,challenge_186,VWKSQQHPNMUNOC,1.0,inf,1.0,1.0,22.0,29.0,CC(CCC(C(C)(C)O)O)C1CCC2(C1(C(CC3=C2CCC4C3(CC(C(C4(C)C)OC(=O)CC(C)(CC(=O)O)O)O)C)O)C)C
187,challenge_187,GOWHHUDNXNDUAS,38.0,6.0,66.0,65.0,33.0,85.0,C1CC(=C(C=C1)C(=O)O)C(=O)O
188,challenge_188,QRCJOCOSPZMDJY,4.0,inf,15.0,7.0,12.0,6.0,CCC(C)C(CC)C(=O)N
189,challenge_189,KDDXOGDIPZSCTM,1.0,1.0,1.0,1.0,1.0,1.0,COC(=O)C1=CSC(=N1)C(=O)C2=CNC3=CC=CC=C32
190,challenge_190,VNIWZCGZPBJWBI,1.0,1.0,1.0,1.0,1.0,1.0,CN1C(=O)C(=C(N=C1N2CCCCS2(=O)=O)C(=O)NCC3=CC=C(C=C3)F)O
191,challenge_191,UKDGPTZSBZPKIO,9.0,inf,3.0,2.0,15.0,6.0,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)CO)OC6C(C(C(CO6)O)O)O)C)C)C2C1)C)C(=O)O)CO
192,challenge_192,SAYWUPNITYCHPG,inf,inf,inf,inf,inf,inf,CC(=CCCC(=CCCC1=CCC(OC1)C(=CCO)C)C)C
193,challenge_193,XHAUOHBDNZKIEL,3.0,4.0,1.0,8.0,3.0,11.0,CC1=C2CC(CCC2(CCC1=O)C)C(C)(C)OC3C(C(C(C(O3)CO)O)O)O
194,challenge_194,PXKWYQCTBMFQDW,inf,inf,inf,inf,inf,inf,CC1CCC2C(C1(CCC3C(=C)CCC4C3(CCC(=O)C(O4)(C)C)C)O)(CC(C(=O)C(O2)(C)C)O)C
195,challenge_195,SVLAIBOYFCQLIY,20.0,2.0,28.0,28.0,16.0,31.0,CC1CC2(C=C(C(=O)O2)C)OC34C1CC5C3(O5)C6C(CC7C(OC8C7(CC6(CC4O)O)OC(=O)C8)(C)C)O
196,challenge_196,FEPPYNQWWRLZNW,42.0,inf,3.0,91.0,85.0,60.0,CC1=CC(=C(C2=C1C(=O)OC3=C(O2)C(=C(C(=C3)C(=O)O)C)OC)COC)O
197,challenge_197,FLXFNIBELQCRPA,7.0,3.0,4.0,3.0,37.0,6.0,C(CCCC(C=CCO)O)CCCC(=O)O
198,challenge_198,LFMVGCLSSWANEO,1.0,1.0,1.0,3.0,1.0,1.0,CC1=C2COC(=O)C2=C(C(=C1O)CC=C(C)CCC=C(C)CCC(=O)O)O
199,challenge_199,UTVHCNQHDCRVMF,1.0,3.0,1.0,2.0,3.0,1.0,CC1C(=O)N2C3C(CC2(C4=NC5=CC=CC=C5C(=O)N14)O)(C6=CC=CC=C6N3C(=O)C)C(C)(C)C=C
200,challenge_200,ZQZJKHIIQFPZCS,2.0,1.0,3.0,5.0,1.0,2.0,CCCNC(=O)N
201,challenge_201,NBQNWMBBSKPBAY,1.0,,1.0,1.0,1.0,1.0,CC(=O)N(CC(CN(C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I)C(=O)C)O)C2=C(C(=C(C(=C2I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I
202,challenge_202,UFUVLHLTWXBHGZ,1.0,1.0,1.0,1.0,1.0,1.0,CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)OP(=O)(O)O)O)O)C(C)Cl
203,challenge_203,CLMACWUIFILBBM,33.0,2.0,17.0,66.0,46.0,1.0,CC1COC(=O)C1(C2C3=C(C(=O)O2)C45CCCC(C4C(C3OC)OC5=O)(C)C)O
204,challenge_204,GFXHOKACHHWSQG,1.0,1.0,1.0,1.0,1.0,1.0,COC1=C(C=CC(=C1)CC2COC(C2COC(=O)C3=CC=C(C=C3)O)C4=CC(=C(C=C4)O)OC)O
205,challenge_205,KQLFQMPSIZRACE,23.0,inf,22.0,21.0,9.0,18.0,COC(=O)C(C1=CC=CC=C1)OC2C(C(C(C(O2)CO)O)O)O
206,challenge_206,NPCYPPUNOYDHKT,1.0,,1.0,1.0,1.0,1.0,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OCC3C(C(C(C(O3)OC(=O)C45CCC(=C)CC4C6=CCC7C8(CCC(C(C8CCC7(C6(CC5)C)C)(C)C)OC9C(C(C(CO9)O)O)OC1C(C(C(C(O1)C)O)O)O)C)O)O)O)COC(=O)C)O)O)O
207,challenge_207,IGSZOCSRLTUKLJ,inf,inf,inf,inf,inf,inf,CC1=CC(=O)NC1=CC=C(C)CCC=C(CCC=C(C)C)C(=O)O
208,challenge_208,LWZCXTWCFCVAPB,inf,inf,inf,inf,inf,inf,CC1=CC(=O)C(C2(C1CC3=C(C(=O)OC3=C2)C)C)OC(=O)C
209,challenge_209,DPYJSGIGESZKHU,4.0,1.0,4.0,4.0,1.0,4.0,CC(=CCCC=C(C)CCC1C(CCC(O1)C(C)(C)OC2C(C(C(C(O2)CO)O)O)O)(C)O)CCC3C(CCC(O3)C(C)(C)O)(C)O
210,challenge_210,BYTPMMJRDFCGKX,1.0,4.0,1.0,2.0,1.0,1.0,CC1C(C(OC1C2=CC3=C(C=C2)OCO3)C4=CC(=C(C=C4)OC(C)C(C5=CC(=C(C=C5)OC)OC)O)OC)C
211,challenge_211,HCFFYRGPTPKLPK,20.0,inf,18.0,23.0,29.0,36.0,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(C(O6)C(=O)O)O)O)O)C)C)C2C1(C)O)C)C(=O)OC7C(C(C(C(O7)CO)O)O)O
212,challenge_212,DTUJRJIWGWTNFQ,inf,inf,inf,inf,inf,inf,C1CC1N2CCC(=O)CC2
213,challenge_213,BHCBLTRDEYPMFZ,1.0,1.0,1.0,1.0,1.0,1.0,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I
214,challenge_214,KKBGNYHHEIAGOH,1.0,1.0,1.0,2.0,1.0,1.0,C1C(CC2=CC=CC=C2C1C3=C(C4=CC=CC=C4OC3=O)O)C5=CC=C(C=C5)OCC6=CC=C(C=C6)C(F)(F)F
215,challenge_215,LRHHFHPQWVDGIQ,1.0,1.0,1.0,1.0,1.0,1.0,CC(=O)NC1C(C(C(OC1OC(C)(C)C2CCC(O2)(C)C(CCC(=C)C3CCC4C3(CCC5C4(CCC(O5)C(C)(C)OC6C(C(C(C(O6)CO)O)O)O)C)C)O)CO)O)O
216,challenge_216,RVQFSOHDFFWTLD,14.0,inf,6.0,10.0,17.0,24.0,CC1(C2CCC1(C(C2)OC3C(C(C(C(O3)COC4C(C(CO4)(CO)O)O)O)O)O)C)C
217,challenge_217,VXXKDWBEVHGANN,10.0,inf,5.0,3.0,1.0,13.0,COC1=C(C=CC(=C1)OC2C(C(C(C(O2)CO)O)O)O)CC(CO)O
218,challenge_218,GFMGGFIBSURRGW,inf,inf,inf,inf,inf,inf,CCCCCCC=C(C(C)C(=O)O)C(=O)O
219,challenge_219,JZXWITIZXDCGSC,434.0,inf,64.0,98.0,341.0,432.0,CC1(C2CCC34CC(CCC3C2(C=CC1=O)C)C(C4)(CO)O)C
220,challenge_220,QQQHFUHGZMFSOB,31.0,inf,93.0,71.0,239.0,354.0,CC1=CC(C(=CC(C)CCC=C(CCC=C(C)C)C(=O)O)C1=O)O
221,challenge_221,SYLBWUCYLWBMER,inf,inf,246.0,34.0,350.0,217.0,CC12CCC(=O)C(C1CCC34C2CC(CC3)C(C4)(CO)O)(C)CO
222,challenge_222,NQNFBFWPHHJVSM,40.0,8.0,12.0,16.0,4.0,38.0,CCCC1C(C(CO1)O)C=CC(=O)O
223,challenge_223,PLESAOGBVATPML,1.0,1.0,1.0,1.0,1.0,1.0,C1C2C(C(C(C(O2)OC3=CC(=C(C(=C3)O)C(=O)CCC4=CC=C(C=C4)O)O)O)OC(=O)C5=CC(=C(C(=C5)O)O)O)OC(=O)C6=CC(=C(C(=C6C7=C(C(=C(C=C7C(=O)O1)O)O)O)O)O)O
224,challenge_224,GZKLJWGUPQBVJQ,1.0,1.0,1.0,1.0,1.0,1.0,C1CN(CCC1C2=CN(C3=C2C=C(C=C3)Cl)C4=CC=C(C=C4)F)CCN5CCNC5=O
225,challenge_225,DWAQDRSOVMLGRQ,2.0,inf,1.0,3.0,4.0,10.0,COC1=CC2=C(C=C1)NC=C2
226,challenge_226,PLHJCIYEEKOWNM,1.0,1.0,1.0,1.0,1.0,1.0,CN1C=NC=C1C(C2=CC=C(C=C2)Cl)(C3=CC4=C(C=C3)N(C(=O)C=C4C5=CC(=CC=C5)Cl)C)N
227,challenge_227,BUOMUXLXLTWQRD,inf,inf,inf,inf,inf,inf,CC1CC=C2C(=C1C=O)OC(C2(C)C)C(C)CO
228,challenge_228,VOCMJEUNEDTYIN,37.0,inf,50.0,44.0,35.0,23.0,CCC(C)C1C(=CC2CC(CC(C2C1(C)C(=O)CCO)C)C)CO
229,challenge_229,HETFHSADNIQCEJ,inf,inf,inf,inf,inf,inf,CC1=C(OC=C1)C(C(C2(CCC=C(C(=O)O2)CCC=C(C)C)C)O)O
230,challenge_230,ZVUKZMWLRYNENB,1.0,1.0,1.0,1.0,2.0,1.0,CC(=CCCC(=CCCC(C)(C=C)OC1C(C(C(C(O1)CO)O)O)O)CO)CC(C=C(C)C(=O)OC)O
231,challenge_231,CLQSQZGNPFWGAE,7.0,1.0,1.0,1.0,2.0,1.0,COC1=C(C=CC(=C1)C=CC(=O)OCC(C2=CC=C(C=C2)O)O)O
232,challenge_232,JVWMEYMYQAAGMM,inf,inf,inf,inf,inf,inf,CC1=C(CC2(C13CCC(C3C(C2)O)(C)O)C)C(=O)O
233,challenge_233,LRDZBWWOVQELFI,131.0,inf,130.0,138.0,98.0,73.0,CC1CC2(C3C(C1C)C4=CC5=C(C=C4OC36C(=CC2=O)OCO6)OCO5)O
234,challenge_234,QCKMSYZHBPNLCB,7.0,2.0,3.0,2.0,3.0,7.0,COC1=C(C=CC(=C1)C(=O)OC2=CC(=CC(=C2CC(=O)O)O)OC3C(C(C(C(O3)CO)O)O)O)O
235,challenge_235,YYJQHCMKQJHGGA,11.0,,2.0,5.0,3.0,4.0,CC1C(C(C(C(O1)OC2C(C(COC2OC3CCC4(C(C3(C)C)CCC5(C4CC=C6C5(CCC7(C6CC(CC7)(C)C(=O)O)C(=O)OC8C(C(C(C(O8)COC9C(C(C(C(O9)COC(=O)C)O)O)O)O)O)O)C)C)C)O)O)O)O)O
236,challenge_236,FBLAHUMENIHUGG,2.0,1.0,2.0,1.0,2.0,1.0,CC1=CC=CC=C1NC(=O)C2=CC3=CC=CC=C3C=C2O
237,challenge_237,YCZJVRCZIPDYHH,1.0,7.0,2.0,3.0,1.0,4.0,CCCCCCCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCCCCCCC
238,challenge_238,BHFJBHMTEDLICO,inf,inf,1.0,1.0,1.0,1.0,C(C(C(C(C(F)(F)S(=O)(=O)F)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F
239,challenge_239,JGCPVCKZVBKIHO,inf,10.0,1.0,1.0,1.0,1.0,CCC(C(C)O)(C(=O)OCC1=CC=C(C=C1)NCCCC(=O)O)O
240,challenge_240,LRFIKYDSTHZRKW,3.0,2.0,3.0,6.0,1.0,1.0,C1=CC(=CC=C1COC(=O)C2=CC(=C(C=C2)O)O)OC3C(C(C(C(O3)CO)O)O)O
241,challenge_241,SUAXOYITDJNGFM,7.0,inf,3.0,3.0,11.0,20.0,C1=C(C=C(C(=C1O)O)O)C(=O)OCC2C(C(C(C(O2)OC(=O)C3=CC(=C(C(=C3)O)O)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O
242,challenge_242,XBOVCSNIOQPGAW,3.0,3.0,2.0,2.0,1.0,3.0,CC1C(C(C(C(O1)OC2CCC3(C4CC(C5(C(CCC5(C4CCC3=C2)O)C6=COC(=O)C=C6)C)OC(=O)C)C)O)O)O
243,challenge_243,YXNJBOPJNBXMGA,20.0,9.0,7.0,20.0,55.0,45.0,CC(=O)OCC1(C2CCC34CC(CCC3C2(CCC1=O)C)C(C4)(COC(=O)C)O)C
244,challenge_244,LZIOIGRHSJIZED,11.0,6.0,3.0,8.0,11.0,2.0,CC1(CCC2C(C1O)OC(=O)CC3C2(CCCC3(C)C(=O)O)C)CCOC4C(C(C(C(O4)CO)O)O)O
245,challenge_245,VKSWFQCTDQBTII,inf,inf,inf,inf,inf,inf,C1=CC(=CC=C1COC(=O)C2=CC=C(C=C2)O)OC3C(C(C(C(O3)CO)O)O)O
246,challenge_246,WBPAMTGAAPNFPT,2.0,inf,8.0,8.0,10.0,4.0,CC1=CC(=C(C(=C1C(=O)O)OC2=C(C(=CC(=C2C)OC)C(=O)O)O)C=O)O
247,challenge_247,PRDFBSVERLRRMY,inf,1.0,1.0,1.0,1.0,1.0,CCOC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)C4=NC5=C(N4)C=C(C=C5)N6CCN(CC6)C
248,challenge_248,NEMNPWINWMHUMR,1.0,1.0,1.0,1.0,1.0,1.0,C1=CC(=CC=C1OC2=C(C=C(C=C2)NC(=O)C3=C(C(=CC(=C3)I)I)O)Cl)Cl
249,challenge_249,YMZTUCZCQMQFMK,23.0,1.0,13.0,21.0,3.0,40.0,CC1=C(OC2=CC=CC=C12)C(=O)O
250,challenge_250,UWPJYQYRSWYIGZ,inf,5.0,6.0,12.0,10.0,16.0,NC1=C2C=CC(=CC2=CC=C1)S(O)(=O)=O
251,challenge_251,VILFVXYKHXVYAB,1.0,4.0,2.0,1.0,4.0,1.0,OS(=O)(=O)c1ccc2ccc(cc2c1)S(O)(=O)=O
252,challenge_252,YLKCHWCYYNKADS,2.0,1.0,4.0,8.0,2.0,3.0,OC1=CC=CC2=C(C=CC=C12)S(O)(=O)=O
253,challenge_253,HUBANNPOLNYSAD,inf,1.0,3.0,3.0,1.0,8.0,OC(=O)c1nc(Cl)ccc1Cl
254,challenge_254,LMEKQMALGUDUQG,1.0,1.0,1.0,1.0,1.0,1.0,CN1C=NC(=C1SC1=C2NC=NC2=NC=N1)[N+]([O-])=O
255,challenge_255,GEFDRROBUCULOD,1.0,inf,1.0,2.0,6.0,3.0,CC(=O)NC1=CC=C(O)C(=C1)C(O)=O
256,challenge_256,FAKRSMQSSFJEIM,1.0,1.0,1.0,1.0,1.0,2.0,C[C@H](CS)C(=O)N1CCC[C@H]1C(O)=O
257,challenge_257,ARQXEQLMMNGFDU,1.0,1.0,1.0,1.0,1.0,2.0,CC1=CC(=O)OC2=CC(O[C@@H]3O[C@@H]([C@H](O)[C@H](O)[C@H]3O)C(O)=O)=CC=C12
258,challenge_258,PGOOBECODWQEAB,1.0,1.0,1.0,1.0,1.0,1.0,CN=C(NCC1=CN=C(Cl)S1)N[N+]([O-])=O
259,challenge_259,ZCXGMSGCBDSEOY,1.0,1.0,1.0,1.0,1.0,1.0,OS(=O)(=O)C1=NC2=CC=CC=C2S1
